textbox12,UnitName,textbox18,EventTime,GeofenceName,GeofenceEvent1,Schedule
Group: ,Unit:TAX210 ,,31/07/2025 4:47:10 p.m.,PLANTA BENEFICIO PINTADA,IN,
Group: ,Unit:TRM241,,25/07/2025 1:29:13 p.m.,Espera para cargue,OUT,
Group: ,Unit:TRM241,,25/07/2025 1:45:58 p.m.,Espera para cargue,IN,
Group: ,Unit:TRM241,,25/07/2025 1:46:11 p.m.,Espera para cargue,OUT,
Group: ,Unit:TRM241,,25/07/2025 1:58:52 p.m.,Espera para cargue,IN,
Group: ,Unit:TRM241,,28/07/2025 10:47:05 a.m.,Espera para cargue,IN,
Group: ,Unit:TRM241,,28/07/2025 1:55:07 p.m.,Espera para cargue,OUT,
Group: ,Unit:TRM241,,29/07/2025 7:06:15 a.m.,Espera para cargue,IN,
Group: ,Unit:TRM241,,29/07/2025 7:12:59 a.m.,Espera para cargue,OUT,
Group: ,Unit:TRM241,,29/07/2025 8:13:03 a.m.,Espera para cargue,IN,
Group: ,Unit:TRM241,,29/07/2025 8:19:30 a.m.,Espera para cargue,OUT,
Group: ,Unit:TRM241,,29/07/2025 10:11:19 a.m.,Espera para cargue,IN,
Group: ,Unit:TRM241,,29/07/2025 10:23:19 a.m.,Espera para cargue,OUT,
Group: ,Unit:TRM241,,29/07/2025 11:48:24 a.m.,ZEUSS Doña Maria,IN,
Group: ,Unit:TRM241,,29/07/2025 12:04:15 p.m.,"ZEUSS Doña Maria : Cl. 87 Sur #55-383 a 55-587, La Estrella, La Estrella, Antioquia, Colombia",OUT,
Group: ,Unit:TRM241,,30/07/2025 7:51:47 a.m.,Espera para cargue,IN,
Group: ,Unit:TRM241,,30/07/2025 9:44:49 a.m.,Espera para cargue,OUT,
Group: ,Unit:TRM241,,30/07/2025 11:23:23 a.m.,Espera para cargue,IN,
Group: ,Unit:TRM241,,30/07/2025 11:23:35 a.m.,Espera para cargue,OUT,
Group: ,Unit:TRM241,,30/07/2025 1:51:32 p.m.,Espera para cargue,IN,
Group: ,Unit:TRM241,,30/07/2025 2:40:57 p.m.,Espera para cargue,OUT,
Group: ,Unit:TRM241,,30/07/2025 2:48:36 p.m.,Espera para cargue,IN,
Group: ,Unit:TRM241,,30/07/2025 2:54:16 p.m.,Espera para cargue,IN,
