GeofenceName,Coordinates
SanJoseDeTor,10.43236397:-75.534951981|10.43243593:-75.53500827|10.43222886:-75.53526442
AveniDelLago,10.41975314:-75.53817298|10.41961802:-75.53816825|10.41967342:-75.53772166
