GeofenceName,Coordinates
AntiguoPeajeMenga,10.406627880:-75.5261457|10.40642474:-75.52631065|10.40614304:-75.52562002
EspiritudelManglar,10.42733188:-75.5420439|10.42722768:-75.5420962|10.42709966:-75.54177504
