,IMEI
0,6B3101CR
2,6B301A8W
4,6B301AU9
6,6B301ASM
8,6B301ABE
10,6B301AJD
12,6B301AAH
14,6B301A88
16,6B301AVM
18,6B301GQ1
20,6B301AL1
22,6B301AUF
24,6B301AQJ
26,6B301AVR
28,8B5141PW
30,6B301BPX
