"Fecha de la Unidad","Advertencia","Valor"
"2025/07/13 12:12:25","BatteryVoltageLow",10812
"2025/07/13 11:28:03","BatteryVoltageLow",10812
"2025/07/13 08:46:58","BatteryVoltageLow",10812
"2025/07/13 07:07:33","BatteryVoltageLow",10812
"2025/07/12 06:21:29","FailedToEnterStandby",1
"2025/07/11 14:14:51","BatteryVoltageLow",10949
"2025/07/11 12:35:00","BatteryVoltageLow",10949
"2025/07/11 09:34:37","BatteryVoltageLow",10949
"2025/07/11 07:48:20","BatteryVoltageLow",10949
"2025/07/11 06:06:54","BatteryVoltageLow",10949
"2025/07/10 13:39:29","BatteryVoltageLow",11011
"2025/07/10 07:18:08","BatteryVoltageLow",11011
"2025/07/08 14:00:46","BatteryVoltageLow",11225
"2025/07/08 13:07:29","BatteryVoltageLow",11225
"2025/07/08 09:24:30","BatteryVoltageLow",11225
"2025/07/08 07:56:11","BatteryVoltageLow",11225
"2025/07/08 05:45:08","BatteryVoltageLow",11225
"2025/07/07 12:34:36","BatteryVoltageLow",10585
"2025/07/07 09:18:21","BatteryVoltageLow",10585
"2025/07/07 06:36:32","BatteryVoltageLow",10585
"2025/07/04 12:46:47","MainboardReboot",1
"2025/07/04 05:46:05","BatteryVoltageLow",10874
"2025/07/02 10:36:33","BatteryVoltageLow",11153
"2025/07/02 07:39:07","BatteryVoltageLow",11153
"2025/07/02 06:29:57","BatteryVoltageLow",11153
"2025/07/01 16:11:03","FailedToEnterStandby",1
"2025/06/27 06:02:37","BatteryVoltageLow",10967
"2025/06/22 06:37:58","FailedToEnterStandby",1
"2025/06/11 15:51:45","BatteryVoltageLow",11782
"2025/06/11 11:42:24","BatteryVoltageLow",11782
"2025/06/11 09:15:13","BatteryVoltageLow",11782
"2025/06/11 08:25:01","BatteryVoltageLow",11782
"2025/06/09 06:49:15","BatteryVoltageLow",10908
"2025/06/04 09:35:14","BatteryVoltageLow",11730
"2025/06/04 08:03:11","BatteryVoltageLow",11730
"2025/05/30 21:34:34","MCUDisconnected",1
"2025/05/30 16:21:17","BatteryVoltageLow",11101
"2025/05/30 13:06:08","BatteryVoltageLow",11101
"2025/05/30 11:11:36","BatteryVoltageLow",11101
"2025/05/30 07:46:55","BatteryVoltageLow",11101
