Name;Este;Norte
Martinez Laran;-79,82711145;-6,847978413
Martinez Laran;-79,82712387;-6,847306027
Martinez Laran;-79,8271208;-6,847091851
Martinez Laran;-79,82566507;-6,847187311
Martinez Laran;-79,82571595;-6,848120137
Martinez Laran;-79,82562511;-6,848921034
Martinez Laran;-79,82567126;-6,848929289
Martinez Laran;-79,82567318;-6,84892972
Martinez Laran;-79,8258232;-6,848970288
Martinez Laran;-79,82582514;-6,848970907
Martinez Laran;-79,8258604;-6,848984054
Martinez Laran;-79,82597446;-6,84902657
Martinez Laran;-79,82597727;-6,849027842
Martinez Laran;-79,82608056;-6,849083371
Martinez Laran;-79,82608121;-6,849083731
Martinez Laran;-79,8260825;-6,849084541
Martinez Laran;-79,8261872;-6,84915515
Martinez Laran;-79,82618838;-6,849156005
Martinez Laran;-79,82630022;-6,849242424
Martinez Laran;-79,82630096;-6,849243026
Martinez Laran;-79,8263017;-6,849243671
Martinez Laran;-79,82632179;-6,849262146
Martinez Laran;-79,82639486;-6,849329326
Martinez Laran;-79,82639586;-6,849330301
Martinez Laran;-79,82651622;-6,849455507
Martinez Laran;-79,82651699;-6,849456344
Martinez Laran;-79,82678793;-6,849768099
Martinez Laran;-79,82234491;-6,848000548
Martinez Laran;-79,82246893;-6,848043986
Martinez Laran;-79,82258099;-6,848048711
Martinez Laran;-79,82271848;-6,848046417
Martinez Laran;-79,82322738;-6,848027191
Martinez Laran;-79,82357086;-6,848049191
Martinez Laran;-79,82362776;-6,848043549
Martinez Laran;-79,82368414;-6,847998891
Martinez Laran;-79,82367005;-6,847616738
Martinez Laran;-79,8234707;-6,846585716
Martinez Laran;-79,82270612;-6,846622892
Martinez Laran;-79,822617;-6,846674335
Martinez Laran;-79,82260481;-6,846694477
Martinez Laran;-79,82258864;-6,846719862
Martinez Laran;-79,82255565;-6,846784876
Martinez Laran;-79,82251504;-6,846841898
Martinez Laran;-79,82247904;-6,846866545
Martinez Laran;-79,82238206;-6,846894496
Martinez Laran;-79,82228901;-6,846899821
Martinez Laran;-79,82223303;-6,846920317
Martinez Laran;-79,8222013;-6,846946647
Martinez Laran;-79,82218196;-6,846976881
Martinez Laran;-79,82196776;-6,847657185
Martinez Laran;-79,82209306;-6,847806455
Martinez Laran;-79,82234491;-6,848000548
Los Mangos;-79,8232189;-6,854949821
Los Mangos;-79,82322855;-6,855015766
Los Mangos;-79,82325918;-6,855091008
Los Mangos;-79,82342713;-6,855341468
Los Mangos;-79,82340801;-6,855434849
Los Mangos;-79,82352809;-6,855646236
Los Mangos;-79,82355966;-6,855829662
Los Mangos;-79,82434452;-6,855847869
Los Mangos;-79,82462041;-6,855870688
Los Mangos;-79,82510241;-6,856294491
Los Mangos;-79,82560815;-6,854896004
Los Mangos;-79,82506094;-6,854697532
Los Mangos;-79,82401381;-6,854317739
Los Mangos;-79,82330629;-6,854537791
Los Mangos;-79,82327266;-6,854605119
Los Mangos;-79,82325482;-6,854654078
Los Mangos;-79,82322797;-6,854837267
Los Mangos;-79,8232189;-6,854949821
Papelillo Laran;-79,82879419;-6,852551459
Papelillo Laran;-79,82828815;-6,852381343
Papelillo Laran;-79,82771486;-6,852286579
Papelillo Laran;-79,8275473;-6,852288361
Papelillo Laran;-79,82728407;-6,852334698
Papelillo Laran;-79,82691922;-6,852367277
Papelillo Laran;-79,82679138;-6,852428615
Papelillo Laran;-79,82672577;-6,852515983
Papelillo Laran;-79,82652771;-6,85337918
Papelillo Laran;-79,82653339;-6,853486277
Papelillo Laran;-79,82656053;-6,85354856
Papelillo Laran;-79,82661983;-6,853632805
Papelillo Laran;-79,82668512;-6,853716512
Papelillo Laran;-79,82670918;-6,853745351
Papelillo Laran;-79,82682015;-6,85387838
Papelillo Laran;-79,82694433;-6,854048374
Papelillo Laran;-79,8270108;-6,854164354
Papelillo Laran;-79,82714816;-6,854511099
Papelillo Laran;-79,82765879;-6,855800103
Papelillo Laran;-79,82789164;-6,856333319
Papelillo Laran;-79,82807443;-6,856696729
Papelillo Laran;-79,82839233;-6,857209026
Papelillo Laran;-79,82871189;-6,857657585
Papelillo Laran;-79,82925331;-6,858414118
Papelillo Laran;-79,82993503;-6,859268625
Papelillo Laran;-79,83025638;-6,85970955
Papelillo Laran;-79,83035503;-6,859707876
Papelillo Laran;-79,83043651;-6,859677445
Papelillo Laran;-79,83086253;-6,859327813
Papelillo Laran;-79,83125574;-6,859336455
Papelillo Laran;-79,83148001;-6,859395351
Papelillo Laran;-79,83164937;-6,859477222
Papelillo Laran;-79,83196961;-6,859731829
Papelillo Laran;-79,83192464;-6,86031496
Papelillo Laran;-79,8333788;-6,86041587
Papelillo Laran;-79,83395023;-6,860438899
Papelillo Laran;-79,83381487;-6,859791924
Papelillo Laran;-79,83366536;-6,859568941
Papelillo Laran;-79,83355876;-6,859490831
Papelillo Laran;-79,83274617;-6,859413905
Papelillo Laran;-79,83162469;-6,859266084
Papelillo Laran;-79,83153516;-6,859241253
Papelillo Laran;-79,83151221;-6,857639322
Papelillo Laran;-79,83147954;-6,85756702
Papelillo Laran;-79,83143612;-6,857542823
Papelillo Laran;-79,82920799;-6,857611619
Papelillo Laran;-79,8291855;-6,857550365
Papelillo Laran;-79,82906651;-6,856054795
Papelillo Laran;-79,82902899;-6,85536237
Papelillo Laran;-79,82932654;-6,855362808
Papelillo Laran;-79,8293765;-6,855297842
Papelillo Laran;-79,82940113;-6,855015535
Papelillo Laran;-79,82943448;-6,854692091
Papelillo Laran;-79,82948533;-6,854262442
Papelillo Laran;-79,82958918;-6,853698918
Papelillo Laran;-79,82964267;-6,853365951
Papelillo Laran;-79,82964221;-6,853160157
Papelillo Laran;-79,82957813;-6,853025397
Papelillo Laran;-79,82949472;-6,852908289
Papelillo Laran;-79,82923175;-6,852755829
Papelillo Laran;-79,82904169;-6,852653354
Papelillo Laran;-79,82879419;-6,852551459
Mocce A1;-79,89667755;-6,685542992
Mocce A1;-79,89673084;-6,685442321
Mocce A1;-79,89679461;-6,685345187
Mocce A1;-79,89684644;-6,685284281
Mocce A1;-79,89692701;-6,685220928
Mocce A1;-79,89713796;-6,685126278
Mocce A1;-79,89755439;-6,685067131
Mocce A1;-79,89804586;-6,684920343
Mocce A1;-79,89955202;-6,684869118
Mocce A1;-79,899861;-6,685093265
Mocce A1;-79,90023872;-6,685383215
Mocce A1;-79,90056308;-6,685743931
Mocce A1;-79,90079374;-6,686176239
Mocce A1;-79,90094902;-6,686468052
Mocce A1;-79,90104318;-6,686703667
Mocce A1;-79,9011897;-6,6866683
Mocce A1;-79,90121153;-6,68653769
Mocce A1;-79,90126182;-6,686381107
Mocce A1;-79,90134982;-6,686195223
Mocce A1;-79,90141145;-6,686082313
Mocce A1;-79,90148485;-6,68601052
Mocce A1;-79,90174776;-6,685747876
Mocce A1;-79,90188221;-6,685563434
Mocce A1;-79,90190977;-6,685392279
Mocce A1;-79,90184106;-6,684968017
Mocce A1;-79,90169462;-6,68461259
Mocce A1;-79,90154521;-6,68425575
Mocce A1;-79,901347;-6,683920617
Mocce A1;-79,90118518;-6,683743443
Mocce A1;-79,90105244;-6,682535472
Mocce A1;-79,90057507;-6,682539461
Mocce A1;-79,9003975;-6,682544486
Mocce A1;-79,90023225;-6,682549163
Mocce A1;-79,89995385;-6,682669751
Mocce A1;-79,89974878;-6,682881104
Mocce A1;-79,89963661;-6,683166776
Mocce A1;-79,89919529;-6,683269071
Mocce A1;-79,89684891;-6,683381143
Mocce A1;-79,89682098;-6,683382477
Mocce A1;-79,89461246;-6,683648891
Mocce A1;-79,89401986;-6,683691651
Mocce A1;-79,89226025;-6,683818613
Mocce A1;-79,8910598;-6,683902417
Mocce A1;-79,89017228;-6,683849992
Mocce A1;-79,88618518;-6,683614458
Mocce A1;-79,88759248;-6,684677275
Mocce A1;-79,89025892;-6,686754054
Mocce A1;-79,89057325;-6,686950435
Mocce A1;-79,89206463;-6,686920279
Mocce A1;-79,89207372;-6,686882372
Mocce A1;-79,89211899;-6,686776245
Mocce A1;-79,89217643;-6,686717657
Mocce A1;-79,89223583;-6,686667462
Mocce A1;-79,89255497;-6,686579413
Mocce A1;-79,89313417;-6,686479525
Mocce A1;-79,89329056;-6,686484372
Mocce A1;-79,89385734;-6,68648665
Mocce A1;-79,89529189;-6,686045409
Mocce A1;-79,89667755;-6,685542992
Mocce A2;-79,88618518;-6,683614458
Mocce A2;-79,89017228;-6,683849992
Mocce A2;-79,8910598;-6,683902417
Mocce A2;-79,89226025;-6,683818613
Mocce A2;-79,89401986;-6,683691651
Mocce A2;-79,89461246;-6,683648891
Mocce A2;-79,89682098;-6,683382477
Mocce A2;-79,89684891;-6,683381143
Mocce A2;-79,89919529;-6,683269071
Mocce A2;-79,89963661;-6,683166776
Mocce A2;-79,89974878;-6,682881104
Mocce A2;-79,89995385;-6,682669751
Mocce A2;-79,90023225;-6,682549163
Mocce A2;-79,9003975;-6,682544486
Mocce A2;-79,90057507;-6,682539461
Mocce A2;-79,90047129;-6,682318251
Mocce A2;-79,90025882;-6,681490552
Mocce A2;-79,90006264;-6,680961681
Mocce A2;-79,89981388;-6,680348186
Mocce A2;-79,89972334;-6,680245813
Mocce A2;-79,89921254;-6,679846662
Mocce A2;-79,8990606;-6,679674407
Mocce A2;-79,89863198;-6,679901644
Mocce A2;-79,89804328;-6,6789611
Mocce A2;-79,89800232;-6,679206165
Mocce A2;-79,89805426;-6,679706133
Mocce A2;-79,89799403;-6,680269073
Mocce A2;-79,8979346;-6,68060422
Mocce A2;-79,89785723;-6,680653487
Mocce A2;-79,89779113;-6,680653486
Mocce A2;-79,89763751;-6,68066329
Mocce A2;-79,89723407;-6,680726657
Mocce A2;-79,89662604;-6,680751122
Mocce A2;-79,89657124;-6,680755463
Mocce A2;-79,89626312;-6,680600812
Mocce A2;-79,89605472;-6,680537485
Mocce A2;-79,89578788;-6,68049765
Mocce A2;-79,89192938;-6,680697348
Mocce A2;-79,89156109;-6,680685288
Mocce A2;-79,89099659;-6,680563158
Mocce A2;-79,88807845;-6,679850376
Mocce A2;-79,88811146;-6,679650347
Mocce A2;-79,88810835;-6,679435687
Mocce A2;-79,88727156;-6,679348766
Mocce A2;-79,88718684;-6,678342546
Mocce A2;-79,88714205;-6,677980812
Mocce A2;-79,88568674;-6,678197629
Mocce A2;-79,88513031;-6,678169
Mocce A2;-79,88483771;-6,678298391
Mocce A2;-79,88392097;-6,6786283
Mocce A2;-79,88369243;-6,678635062
Mocce A2;-79,88364475;-6,679148638
Mocce A2;-79,88362146;-6,679390277
Mocce A2;-79,88293893;-6,680427963
Mocce A2;-79,88297579;-6,680638392
Mocce A2;-79,88266885;-6,680999638
Mocce A2;-79,88261865;-6,6828711
Mocce A2;-79,88263484;-6,682909424
Mocce A2;-79,88265871;-6,682939151
Mocce A2;-79,88323125;-6,683467517
Mocce A2;-79,88338404;-6,683587099
Mocce A2;-79,88349733;-6,683655795
