GeofenceName,Coordinates
EstibasDelBo,10.40497153:-75.52147261|10.40496815:-75.52127282|10.40454284:-75.52139214
OlimpicaSanF,10.38218143:-75.46915556|10.38190235:-75.46938961|10.38185692:-75.46931112
EntradaBlasD,10.39086579:-75.48879241|10.39098394:-75.48839675|10.39077082:-75.48874413
