Name;Division;Anexo;Este;Norte;Punto
Lote III;Pampagrande;El Palmo;-79,45710206;-6,692994153;177
Lote III;Pampagrande;El Palmo;-79,45695556;-6,693007092;178
Lote III;Pampagrande;El Palmo;-79,45674308;-6,692997812;179
Lote III;Pampagrande;El Palmo;-79,45663498;-6,692976418;180
Lote III;Pampagrande;El Palmo;-79,45642868;-6,692951461;181
Lote III;Pampagrande;El Palmo;-79,45627756;-6,692910791;182
Lote III;Pampagrande;El Palmo;-79,4561954;-6,692860767;183
Lote III;Pampagrande;El Palmo;-79,45608865;-6,692775384;184
Lote III;Pampagrande;El Palmo;-79,45596289;-6,692640126;185
Lote III;Pampagrande;El Palmo;-79,45586816;-6,692501663;186
Lote III;Pampagrande;El Palmo;-79,45577003;-6,69231593;187
Lote III;Pampagrande;El Palmo;-79,45554811;-6,69192165;188
Lote III;Pampagrande;El Palmo;-79,45548372;-6,69184967;189
Lote III;Pampagrande;El Palmo;-79,45541683;-6,691812375;190
Lote III;Pampagrande;El Palmo;-79,45532369;-6,691752268;191
Lote III;Pampagrande;El Palmo;-79,4552556;-6,691718557;192
Lote III;Pampagrande;El Palmo;-79,45517789;-6,691695583;193
Lote III;Pampagrande;El Palmo;-79,45511567;-6,691695387;194
Lote III;Pampagrande;El Palmo;-79,45508693;-6,691704868;195
Lote III;Pampagrande;El Palmo;-79,45500828;-6,691751994;196
Lote III;Pampagrande;El Palmo;-79,45495071;-6,691794879;197
Lote III;Pampagrande;El Palmo;-79,45489415;-6,691822456;198
Lote III;Pampagrande;El Palmo;-79,45484388;-6,691827562;199
Lote III;Pampagrande;El Palmo;-79,4547745;-6,691821123;200
Lote III;Pampagrande;El Palmo;-79,45470806;-6,691792203;201
Lote III;Pampagrande;El Palmo;-79,45461056;-6,691749787;202
Lote III;Pampagrande;El Palmo;-79,45451689;-6,69170499;203
Lote III;Pampagrande;El Palmo;-79,45444717;-6,691655962;204
Lote III;Pampagrande;El Palmo;-79,45438125;-6,691612688;205
Lote III;Pampagrande;El Palmo;-79,45430016;-6,691524865;206
Lote III;Pampagrande;El Palmo;-79,45424107;-6,691442852;207
Lote III;Pampagrande;El Palmo;-79,45420829;-6,69136475;208
Lote III;Pampagrande;El Palmo;-79,45417564;-6,691246932;209
Lote III;Pampagrande;El Palmo;-79,45416488;-6,69116866;210
Lote III;Pampagrande;El Palmo;-79,45414503;-6,69108725;211
Lote III;Pampagrande;El Palmo;-79,4541205;-6,6909752;212
Lote III;Pampagrande;El Palmo;-79,4541178;-6,690917768;213
Lote III;Pampagrande;El Palmo;-79,45412393;-6,690796244;214
Lote III;Pampagrande;El Palmo;-79,45412148;-6,690737857;215
Lote III;Pampagrande;El Palmo;-79,45410868;-6,690700492;216
Lote III;Pampagrande;El Palmo;-79,45407574;-6,690673114;217
Lote III;Pampagrande;El Palmo;-79,45403415;-6,690657191;218
Lote III;Pampagrande;El Palmo;-79,45398392;-6,690649138;219
Lote III;Pampagrande;El Palmo;-79,4539136;-6,690638151;220
Lote III;Pampagrande;El Palmo;-79,45385473;-6,690637966;221
Lote III;Pampagrande;El Palmo;-79,45378289;-6,690651377;222
Lote III;Pampagrande;El Palmo;-79,45373329;-6,690670601;223
Lote III;Pampagrande;El Palmo;-79,45370738;-6,690692771;224
Lote III;Pampagrande;El Palmo;-79,4536706;-6,690745053;225
Lote III;Pampagrande;El Palmo;-79,45365782;-6,690773834;226
Lote III;Pampagrande;El Palmo;-79,45365341;-6,690803966;227
Lote III;Pampagrande;El Palmo;-79,45365106;-6,690815747;228
Lote III;Pampagrande;El Palmo;-79,45366052;-6,690895273;229
Lote III;Pampagrande;El Palmo;-79,45366102;-6,69111659;230
Lote III;Pampagrande;El Palmo;-79,45366062;-6,691243396;231
Lote III;Pampagrande;El Palmo;-79,45366701;-6,691304228;232
Lote III;Pampagrande;El Palmo;-79,45367098;-6,69137542;233
Lote III;Pampagrande;El Palmo;-79,45367022;-6,691425663;234
Lote III;Pampagrande;El Palmo;-79,4536736;-6,691492666;235
Lote III;Pampagrande;El Palmo;-79,45368363;-6,691538754;236
Lote III;Pampagrande;El Palmo;-79,45370196;-6,691605805;237
Lote III;Pampagrande;El Palmo;-79,45372389;-6,69167167;238
Lote III;Pampagrande;El Palmo;-79,45374883;-6,691732759;239
Lote III;Pampagrande;El Palmo;-79,45376228;-6,691777472;240
Lote III;Pampagrande;El Palmo;-79,45378316;-6,691846444;241
Lote III;Pampagrande;El Palmo;-79,45379213;-6,691886429;242
Lote III;Pampagrande;El Palmo;-79,45380057;-6,691941245;243
