Name,count
Porvenir,313
Potrero Grande,269
Collud,255
Lote III,254
Tutumo,242
San Salvador I,239
Elena,227
Cafetal,215
El Monte,213
San Agustin,205
Wadington Alto,201
Goto,193
Zanjon IV,193
Desaguadero,184
Huabos,184
Wadington Bajo,182
Lote I,176
San Carlos A,175
San Carlos B,175
Lote IV,163
San Salvador II Parte,160
Estrella II,156
San Luis I,151
San Miguel A,148
Tres Primos A,146
San Felix,145
Zanjon II,142
Union IA,135
San Salvador II,131
Cholocal,131
Lote II,130
Rosalia I,129
Martinez Laran,129
Union II,129
Laura I,126
Gregorio,125
Peredo,124
Lote VI,121
Abelardo A,117
Zanjon IB,115
Pusse,112
Rosalia II,110
Huaca de Piedra III,110
Mocce B,110
Petronila A,108
Estrella III,108
Callejon,107
El Coco,107
Papelillo II,105
Estaciones,104
Algodonal III,103
Huacas,101
Pampa Reservorio,94
San Luis II,94
Algodonal II,94
La Punta C,90
Cerro,89
Abelardo B,87
Peñon,84
Boro,84
Estreno II,83
Maicillo,76
El Combo,75
Juana I,74
Higueron Bajo B,74
Higueron Alto,73
Represa,71
Juan Pablo Capilla,70
Mocce A2,69
Estrella,68
Elena III,68
Juan Pablo,68
Zanjon III,67
Estreno I,67
Estrella I,67
Peñoncito,65
Boris B,64
Union III,64
Union IB,62
Papelillo Laran,62
Huaca de Piedra I,60
Bola de Oro,60
Medio Mundo B,60
Mocce A1,59
Caballo Blanco,58
Peñon III,58
San Luis III,57
Tres Primos B,57
Jacobita,57
Huaca de Piedra II,56
San Juan,56
Papelillo I,56
Camino Real,55
Los Naranjos,54
Mochicas A,52
Concordia,50
La Punta,50
Medio Mundo A,49
Juana,45
Saman,44
San Miguel,44
Fito,42
San Vicente,42
Mochicas B,42
Algodonal I,41
Boris A,41
Tres Hermanos A,41
Laura IIA,40
Mercedes,39
Algodonal IA,37
Colon I,36
Rosso,36
Laura IIC,35
Petronila B,32
Reserv Boca de Tigre,32
Concordia A,32
La Patera,28
Juan Pablo I,28
Medano,25
Zanjon IA,22
Union VI,20
Colon II,20
Las Tunas,19
Higueron Bajo A,19
Los Mangos,18
Huabos Enfriaderas,16
Tres Hermanos,15
