textbox12,textbox16,EventTime,Address,EndLandmark,textbox25,Driver,textbox20
Jefaturas,Unidad: M8E-890/ADM.PG,3/07/2025 8:42:52 a.m.,"58P4+5Q Rinconazo, Peru",,00:05:02, ,# Stops: 80 - Max: 01:32:54 - Min: 00:05:01 - Total Stops: 12:58:30
Jefaturas,Unidad: M8E-890/ADM.PG,4/07/2025 5:18:44 a.m.,"7G3C+H42, Pasaje Atahualpa, Pampa Grande 14620, Peru",,00:05:41, ,# Stops: 80 - Max: 01:32:54 - Min: 00:05:01 - Total Stops: 12:58:30
Jefaturas,Unidad: M8E-890/ADM.PG,4/07/2025 10:03:17 a.m.,"7G3C+H42, Pasaje Atahualpa, Pampa Grande 14620, Peru",,00:07:37, ,# Stops: 80 - Max: 01:32:54 - Min: 00:05:01 - Total Stops: 12:58:30
Jefaturas,Unidad: M8E-890/ADM.PG,5/07/2025 6:14:18 a.m.,"7G3C+H42, Pasaje Atahualpa, Pampa Grande 14620, Peru",,00:08:01, ,# Stops: 80 - Max: 01:32:54 - Min: 00:05:01 - Total Stops: 12:58:30
Jefaturas,Unidad: M8E-890/ADM.PG,5/07/2025 11:08:18 a.m.,"7GGW+G3 Pampa Grande, Peru",,00:05:12, ,# Stops: 80 - Max: 01:32:54 - Min: 00:05:01 - Total Stops: 12:58:30
Jefaturas,Unidad: M8E-890/ADM.PG,6/07/2025 7:00:18 a.m.,"6CCJ+M3 Collique Alto, Peru",,00:33:02, ,# Stops: 80 - Max: 01:32:54 - Min: 00:05:01 - Total Stops: 12:58:30
Jefaturas,Unidad: M8E-890/ADM.PG,7/07/2025 6:25:32 a.m.,"101, Pampa Grande 14620, Peru",,00:07:36, ,# Stops: 80 - Max: 01:32:54 - Min: 00:05:01 - Total Stops: 12:58:30
Jefaturas,Unidad: M8E-890/ADM.PG,7/07/2025 11:53:11 p.m.,"7GRR+XQ Cuculi, Peru",campo de prueba,00:44:25, ,# Stops: 80 - Max: 01:32:54 - Min: 00:05:01 - Total Stops: 12:58:30
Jefaturas,Unidad: M8E-890/ADM.PG,8/07/2025 1:32:05 a.m.,"7G3C+H42, Pasaje Atahualpa, Pampa Grande 14620, Peru",,00:11:36, ,# Stops: 80 - Max: 01:32:54 - Min: 00:05:01 - Total Stops: 12:58:30
Jefaturas,Unidad: M8E-890/ADM.PG,8/07/2025 11:07:57 p.m.,"7G7H+QP Pampa Grande, Peru",,00:06:46, ,# Stops: 80 - Max: 01:32:54 - Min: 00:05:01 - Total Stops: 12:58:30
