Name;Division;Anexo;Este;Norte;Punto
Lote IV;Pampagrande;El Palmo;-79,46481426;-6,703534873;552
Lote IV;Pampagrande;El Palmo;-79,4648211;-6,703570011;553
Lote IV;Pampagrande;El Palmo;-79,46483064;-6,703579724;554
Lote IV;Pampagrande;El Palmo;-79,46487885;-6,703606931;555
Lote IV;Pampagrande;El Palmo;-79,464971;-6,703648647;556
Lote IV;Pampagrande;El Palmo;-79,46502465;-6,703670947;557
Lote IV;Pampagrande;El Palmo;-79,46505042;-6,703682172;558
Lote IV;Pampagrande;El Palmo;-79,46514331;-6,703722639;559
Lote IV;Pampagrande;El Palmo;-79,46522486;-6,703761831;560
Lote IV;Pampagrande;El Palmo;-79,46531645;-6,70380633;561
Lote IV;Pampagrande;El Palmo;-79,46539195;-6,703846762;562
Lote IV;Pampagrande;El Palmo;-79,46558969;-6,703978015;563
Lote IV;Pampagrande;El Palmo;-79,46567121;-6,704083067;564
Lote IV;Pampagrande;El Palmo;-79,46569208;-6,704143187;565
Lote IV;Pampagrande;El Palmo;-79,46570339;-6,704200644;566
Lote IV;Pampagrande;El Palmo;-79,46572667;-6,704419114;567
Lote IV;Pampagrande;El Palmo;-79,46572706;-6,704583484;568
Lote IV;Pampagrande;El Palmo;-79,46584075;-6,705260576;569
Lote IV;Pampagrande;El Palmo;-79,46590475;-6,70562455;570
Lote IV;Pampagrande;El Palmo;-79,46592042;-6,705736956;571
Lote IV;Pampagrande;El Palmo;-79,46584753;-6,706114832;572
Lote IV;Pampagrande;El Palmo;-79,46583118;-6,706198128;573
Lote IV;Pampagrande;El Palmo;-79,46584297;-6,70630193;574
Lote IV;Pampagrande;El Palmo;-79,4658909;-6,706758165;575
Lote IV;Pampagrande;El Palmo;-79,4658884;-6,706846996;576
Lote IV;Pampagrande;El Palmo;-79,46584524;-6,707307364;577
Lote IV;Pampagrande;El Palmo;-79,46582673;-6,707498749;578
Lote IV;Pampagrande;El Palmo;-79,46582793;-6,707950053;579
Lote IV;Pampagrande;El Palmo;-79,46582677;-6,708256367;580
Lote IV;Pampagrande;El Palmo;-79,46573172;-6,709074173;581
Lote IV;Pampagrande;El Palmo;-79,46565858;-6,709504686;582
Lote IV;Pampagrande;El Palmo;-79,46564224;-6,709949336;583
Lote IV;Pampagrande;El Palmo;-79,46580887;-6,710672947;584
Lote IV;Pampagrande;El Palmo;-79,46588037;-6,710854145;585
Lote IV;Pampagrande;El Palmo;-79,46590482;-6,710925637;586
Lote IV;Pampagrande;El Palmo;-79,46603463;-6,711073936;587
Lote IV;Pampagrande;El Palmo;-79,46610237;-6,711116256;588
Lote IV;Pampagrande;El Palmo;-79,46619966;-6,711177044;589
Lote IV;Pampagrande;El Palmo;-79,46656317;-6,711302166;590
Lote IV;Pampagrande;El Palmo;-79,46685871;-6,711379751;591
Lote IV;Pampagrande;El Palmo;-79,46692891;-6,711409829;592
Lote IV;Pampagrande;El Palmo;-79,46694056;-6,711414097;593
Lote IV;Pampagrande;El Palmo;-79,4669909;-6,711469865;594
Lote IV;Pampagrande;El Palmo;-79,46701761;-6,711541943;595
Lote IV;Pampagrande;El Palmo;-79,46695825;-6,711927154;596
Lote IV;Pampagrande;El Palmo;-79,46690813;-6,712186474;597
Lote IV;Pampagrande;El Palmo;-79,46681596;-6,712625337;598
Lote IV;Pampagrande;El Palmo;-79,46681558;-6,712747359;599
Lote IV;Pampagrande;El Palmo;-79,46682967;-6,712833537;600
Lote IV;Pampagrande;El Palmo;-79,4668629;-6,712918578;601
Lote IV;Pampagrande;El Palmo;-79,46694491;-6,71309828;602
Lote IV;Pampagrande;El Palmo;-79,46708278;-6,713396591;603
Lote IV;Pampagrande;El Palmo;-79,4671958;-6,71360869;604
Lote IV;Pampagrande;El Palmo;-79,46733042;-6,713798127;605
Lote IV;Pampagrande;El Palmo;-79,467489;-6,713979265;606
Lote IV;Pampagrande;El Palmo;-79,46768676;-6,714141239;607
Lote IV;Pampagrande;El Palmo;-79,46778137;-6,714165926;608
Lote IV;Pampagrande;El Palmo;-79,46796805;-6,714214636;609
Lote IV;Pampagrande;El Palmo;-79,4681086;-6,714317883;610
Lote IV;Pampagrande;El Palmo;-79,46825893;-6,714362233;611
Lote IV;Pampagrande;El Palmo;-79,46874973;-6,714387893;612
Lote IV;Pampagrande;El Palmo;-79,46956388;-6,714424032;613
Lote IV;Pampagrande;El Palmo;-79,4696471;-6,71444606;614
Lote IV;Pampagrande;El Palmo;-79,46974049;-6,714486924;615
Lote IV;Pampagrande;El Palmo;-79,46983085;-6,714473591;616
Lote IV;Pampagrande;El Palmo;-79,47025831;-6,714192911;617
Lote IV;Pampagrande;El Palmo;-79,46970007;-6,713787611;618
Lote IV;Pampagrande;El Palmo;-79,46960262;-6,713723771;619
Lote IV;Pampagrande;El Palmo;-79,46950404;-6,71367691;620
Lote IV;Pampagrande;El Palmo;-79,46923153;-6,713597539;621
Lote IV;Pampagrande;El Palmo;-79,46909194;-6,71354079;622
Lote IV;Pampagrande;El Palmo;-79,46892314;-6,713210203;623
Lote IV;Pampagrande;El Palmo;-79,46887473;-6,71308085;624
Lote IV;Pampagrande;El Palmo;-79,46882784;-6,712921356;625
Lote IV;Pampagrande;El Palmo;-79,4687669;-6,7126642;626
Lote IV;Pampagrande;El Palmo;-79,46872177;-6,712399915;627
Lote IV;Pampagrande;El Palmo;-79,46867496;-6,712217452;628
Lote IV;Pampagrande;El Palmo;-79,46864577;-6,712137687;629
Lote IV;Pampagrande;El Palmo;-79,46860772;-6,712077699;630
Lote IV;Pampagrande;El Palmo;-79,46859142;-6,711966477;631
Lote IV;Pampagrande;El Palmo;-79,46858553;-6,711926357;632
Lote IV;Pampagrande;El Palmo;-79,46861711;-6,711858261;633
Lote IV;Pampagrande;El Palmo;-79,46862171;-6,711851835;634
Lote IV;Pampagrande;El Palmo;-79,4686794;-6,711766998;635
Lote IV;Pampagrande;El Palmo;-79,46887373;-6,71159761;636
Lote IV;Pampagrande;El Palmo;-79,46983923;-6,710807235;637
Lote IV;Pampagrande;El Palmo;-79,47023485;-6,710415125;638
Lote IV;Pampagrande;El Palmo;-79,47042254;-6,710088401;639
Lote IV;Pampagrande;El Palmo;-79,47054073;-6,709852956;640
Lote IV;Pampagrande;El Palmo;-79,4705824;-6,709726624;641
Lote IV;Pampagrande;El Palmo;-79,4707669;-6,709154127;642
Lote IV;Pampagrande;El Palmo;-79,47076905;-6,709007861;643
Lote IV;Pampagrande;El Palmo;-79,47076372;-6,708822779;644
Lote IV;Pampagrande;El Palmo;-79,4707347;-6,708717541;645
Lote IV;Pampagrande;El Palmo;-79,47070864;-6,708589628;646
Lote IV;Pampagrande;El Palmo;-79,4706968;-6,708503837;647
Lote IV;Pampagrande;El Palmo;-79,47070917;-6,708342653;648
Lote IV;Pampagrande;El Palmo;-79,47068671;-6,708219362;649
Lote IV;Pampagrande;El Palmo;-79,47058252;-6,708015726;650
Lote IV;Pampagrande;El Palmo;-79,47048549;-6,707862629;651
