textbox12,textbox16,EventTime,Address,EndLandmark,textbox25,Driver,textbox20
Seguridad,Unit: BVO-945/SEGURIDAD,10/07/2025 7:13:39 a.m.,"Via Principal, Pomalca, Chiclayo, Lambayeque, Perú",,00:05:12, ,# Stops: 5 - Max: 00:10:31 - Min: 00:05:12 - Total Stops: 00:38:22
Seguridad,Unit: BVO-945/SEGURIDAD,10/07/2025 8:18:13 a.m.,"Pe-6a-31, Tuman, Chiclayo, Lambayeque, Perú",,00:09:05, ,# Stops: 5 - Max: 00:10:31 - Min: 00:05:12 - Total Stops: 00:38:22
Seguridad,Unit: BVO-945/SEGURIDAD,10/07/2025 8:27:26 a.m.,"Pe-6a-44, Tuman, Chiclayo, Lambayeque, Perú",,00:10:31, ,# Stops: 5 - Max: 00:10:31 - Min: 00:05:12 - Total Stops: 00:38:22
Seguridad,Unit: BXC-911/SEGURIDAD ,10/07/2025 1:18:51 a.m.,"Av Via Haca Rajada Sipan-4, Pomalca, Chiclayo, Lambayeque",,00:30:47, ,# Stops: 6 - Max: 00:30:47 - Min: 00:09:50 - Total Stops: 01:51:04
Seguridad,Unit: BXC-911/SEGURIDAD ,10/07/2025 5:37:15 a.m.,"Pe-6a-37, Tuman, Chiclayo, Lambayeque",,00:13:12, ,# Stops: 6 - Max: 00:30:47 - Min: 00:09:50 - Total Stops: 01:51:04
Seguridad,Unit: BXC-911/SEGURIDAD ,10/07/2025 9:48:28 a.m.,"Av Lora Y Lora-12, Chiclayo, Chiclayo, Lambayeque",,00:09:50, ,# Stops: 6 - Max: 00:30:47 - Min: 00:09:50 - Total Stops: 01:51:04
Seguridad,Unit: BXC-911/SEGURIDAD ,10/07/2025 10:13:53 a.m.,"Via Principal-88, Chiclayo, Chiclayo, Lambayeque, Perú",,00:22:50, ,# Stops: 6 - Max: 00:30:47 - Min: 00:09:50 - Total Stops: 01:51:04
Seguridad,Unit: BXC-911/SEGURIDAD ,10/07/2025 10:42:48 a.m.,"Av Dumont-55, Chiclayo, Chiclayo, Lambayeque",,00:15:03, ,# Stops: 6 - Max: 00:30:47 - Min: 00:09:50 - Total Stops: 01:51:04
Seguridad,Unit: BXC-911/SEGURIDAD ,10/07/2025 11:23:05 a.m.,"Capirona-20, Chiclayo, Chiclayo, Lambayeque, Perú",,00:19:22, ,# Stops: 6 - Max: 00:30:47 - Min: 00:09:50 - Total Stops: 01:51:04

