;Created;Message;;;;;geocerca;;;;;;;;;;;;;;;;;
26458;2025-06-18 21:15:15.370;#¿NOMBRE?;500700;8,68574E+14;;;B1;1;1;18.2;32;24.8;-75.469.463;10.381.761;2,02506E+13;732;101;0,00E+00;ADFF;4;12;44204.8;2,02506E+13;D283$
26460;2025-06-18 21:15:35.882;#¿NOMBRE?;500700;8,68574E+14;;;B0;1;1;0.4;35;26.9;-75.469.051;10.382.349;2,02506E+13;732;101;3AB6;BBAAF71;4;12;44204.9;2,02506E+13;D285$
26465;2025-06-18 21:17:46.106;#¿NOMBRE?;500700;8,68574E+14;;;40;1;1;0.2;27;26.9;-75.468.988;10.382.459;2,02506E+13;732;101;3AB6;BBAAF71;4;12;44204.9;2,02506E+13;D28A$
26481;2025-06-18 21:28:32.115;#¿NOMBRE?;500700;8,68574E+14;;;31;1;1;39.4;134;13.1;-75.459.046;10.374.978;2,02506E+13;732;101;3AB6;BBA4308;4;12;44206.5;2,02506E+13;D29A$
26483;2025-06-18 21:28:44.216;#¿NOMBRE?;500700;8,68574E+14;;;30;1;1;24.6;128;13.9;-75.458.341;10.374.381;2,02506E+13;732;101;3AB6;BBAAF67;4;12;44206.6;2,02506E+13;D29C$
26533;2025-06-18 21:54:05.361;#¿NOMBRE?;500700;8,68574E+14;;;1;1;1;15.9;351;15.7;-75.456.965;10.401.666;2,02506E+13;732;101;3AB6;BBACE24;4;12;44215.0;2,02506E+13;D2CC$
26541;2025-06-18 22:00:50.067;#¿NOMBRE?;500700;8,68574E+14;;;0;1;1;7.6;331;12.6;-75.457.454;10.402.516;2,02506E+13;732;101;3AB6;BBACE24;4;12;44215.1;2,02506E+13;D2D4$
26565;2025-06-18 22:18:25.112;#¿NOMBRE?;500700;8,68574E+14;;;31;1;1;0.3;312;25.3;-75.458.491;10.374.663;2,02506E+13;732;101;3AB6;BBAAF67;4;12;44221.0;2,02506E+13;D2EC$
26570;2025-06-18 22:22:05.025;#¿NOMBRE?;500700;8,68574E+14;;;30;1;1;5.3;319;19.4;-75.459.649;10.375.801;2,02506E+13;732;101;3AB6;BBA4308;4;12;44221.1;2,02506E+13;D2F1$
26584;2025-06-18 22:32:13.813;#¿NOMBRE?;500700;8,68574E+14;;;41;1;1;23.6;214;26.3;-75.469.035;10.382.335;2,02506E+13;732;101;3AB6;BBAAF71;4;12;44222.7;2,02506E+13;D2FF$
26585;2025-06-18 22:32:20.147;#¿NOMBRE?;500700;8,68574E+14;;;B1;1;1;11.4;215;25.0;-75.469.193;10.382.104;2,02506E+13;732;101;3AB6;BBAAF71;4;12;44222.7;2,02506E+13;D300$
26586;2025-06-18 22:32:50.211;#¿NOMBRE?;500700;8,68574E+14;;;40;1;1;19.4;217;23.2;-75.469.608;10.381.492;2,02506E+13;732;101;3AB6;BBAAF70;4;12;44222.8;2,02506E+13;D301$
26587;2025-06-18 22:32:52.932;#¿NOMBRE?;500700;8,68574E+14;;;B0;1;1;19.4;217;23.2;-75.469.608;10.381.492;2,02506E+13;732;101;3AB6;BBAAF70;4;12;44222.8;2,02506E+13;D302$
26589;2025-06-18 22:34:14.070;#¿NOMBRE?;500700;8,68574E+14;;;51;1;1;13.6;213;16.9;-75.471.440;10.378.820;2,02506E+13;732;101;3AB6;BBAADA0;4;12;44223.2;2,02506E+13;D304$
26593;2025-06-18 22:35:12.820;#¿NOMBRE?;500700;8,68574E+14;;;50;1;1;12.2;185;26.5;-75.471.524;10.377.901;2,02506E+13;732;101;3AB6;BBA3F84;4;12;44223.3;2,02506E+13;D308$
26626;2025-06-18 22:56:36.267;#¿NOMBRE?;500700;8,68574E+14;;;61;1;1;14.9;307;16.6;-75.488.286;10.391.084;2,02506E+13;732;101;3AB6;BBAAED1;4;12;44227.5;2,02506E+13;D329$
26629;2025-06-18 22:57:21.503;#¿NOMBRE?;500700;8,68574E+14;;;60;1;1;25.0;251;18.0;-75.489.346;10.390.728;2,02506E+13;732;101;3AB6;BBAAD8C;4;12;44227.6;2,02506E+13;D32C$
26634;2025-06-18 23:01:15.065;#¿NOMBRE?;500700;8,68574E+14;;;71;1;1;33.9;260;11.8;-75.501.568;10.388.644;2,02506E+13;732;101;3AB6;BBA422D;4;12;44229.0;2,02506E+13;D331$
26635;2025-06-18 23:01:36.026;#¿NOMBRE?;500700;8,68574E+14;;;70;1;1;11.3;260;11.5;-75.502.435;10.388.498;2,02506E+13;732;101;3AB6;BBAD163;4;12;44229.1;2,02506E+13;D332$
26664;2025-06-18 23:17:05.869;#¿NOMBRE?;500700;8,68574E+14;;;81;1;1;38.1;302;8.7;-75.525.861;10.406.310;2,02506E+13;732;101;3AB6;BBAAF20;4;12;44233.9;2,02506E+13;D34F$
26665;2025-06-18 23:17:15.223;#¿NOMBRE?;500700;8,68574E+14;;;80;1;1;13.0;308;7.6;-75.526.390;10.406.690;2,02506E+13;732;101;3AB6;BBAAF20;4;12;44233.9;2,02506E+13;D350$
26714;2025-06-18 23:42:56.967;#¿NOMBRE?;500700;8,68574E+14;;;C1;1;1;32.3;92;1.1;-75.538.087;10.419.662;2,02506E+13;732;101;3AB6;BBA3EBC;4;12;44239.2;2,02506E+13;D381$
26715;2025-06-18 23:43:06.644;#¿NOMBRE?;500700;8,68574E+14;;;C0;1;1;26.8;78;1.5;-75.537.349;10.419.717;2,02506E+13;732;101;3AB6;BBAD216;4;12;44239.3;2,02506E+13;D382$
26734;2025-06-18 23:50:34.431;#¿NOMBRE?;500700;8,68574E+14;;;21;1;1;22.4;140;6.6;-75.521.451;10.404.996;2,02506E+13;732;101;3AB6;BBA40A8;4;12;44242.2;2,02506E+13;D395$
26737;2025-06-18 23:50:51.197;#¿NOMBRE?;500700;8,68574E+14;;;20;1;1;24.9;185;5.5;-75.521.486;10.404.246;2,02506E+13;732;101;3AB6;BBA40A8;4;12;44242.3;2,02506E+13;D398$
