Textbox72,Textbox36,Textbox7,UTC_DateTime,EventName,Textbox3,Textbox5,Altitude,Address2
Unit: ACZ-912,Level (Gals),Change,5/09/2025 16:34,Fuel Raising,"59,35","72,99","13,64","Línea Amarilla 45, Rímac , Peru Lima 15093"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 16:37,Fuel Dropping,"72,99","57,34","-15,65","Av Evitamiento-77, El Agustino, Lima, Lima [Province] Lma"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 16:43,Fuel Raising,"58,02","84,97","26,95","Av Autopista Ramiro Priale-46, El Agustino, Lima, Lima [Province] Lma"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 16:46,Fuel Dropping,"84,97","56,60","-28,37","Los Laureles-4, Lurigancho, Lima, Lima [Province] Lma"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 16:49,Fuel Raising,"56,60","61,13","4,53","Av Quinta, Lurigancho, Lima, Lima [Province] Lma"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 16:52,Fuel Dropping,"61,13","55,88","-5,25","Via Principal-46, Lurigancho, Lima, Lima [Province] Lma"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 17:04,Fuel Raising,"56,91","151,74","94,83","Av Las Torres-28, Lurigancho, Lima, Lima [Province] Lma"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 17:19,Fuel Dropping,"151,65","57,36","-94,29","Av Las Torres-29, Lurigancho, Lima, Lima [Province] Lma"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 17:33,Fuel Raising,"54,53","64,89","10,36","Av Las Torres-32, Lurigancho, Lima, Lima [Province], Perú"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 17:36,Fuel Raising,"64,89","149,85","84,96","La Capitana 19, , Peru Lima Lima"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 17:40,Fuel Dropping,"149,85","133,27","-16,59","Av Las Torres-37, Lurigancho, Lima, Lima [Province], Perú"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 17:43,Fuel Raising,"133,27","151,48","18,21","Av Las Torres-37, Lurigancho, Lima, Lima [Province], Perú"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 18:49,Fuel Dropping,"151,63","104,99","-46,64","Av Las Torres-37, Lurigancho, Lima, Lima [Province], Perú"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 18:52,Fuel Raising,"104,99","131,20","26,20","Av Las Torres-37, Lurigancho, Lima, Lima [Province], Perú"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 18:55,Fuel Dropping,"131,20","63,21","-67,98","Av Las Torres-36, Lurigancho, Lima, Lima [Province], Perú"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 19:00,Fuel Raising,"63,21","97,82","34,61","La Capitana 19, Lima, Peru Lima Departamen"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 19:03,Fuel Raising,"97,82","152,03","54,21","La Capitana 19, Lima, Peru Lima Departamen"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 19:06,Fuel Dropping,"152,03","100,60","-51,43","La Capitana 19, Lima, Peru Lima Departamen"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 19:09,Fuel Raising,"100,60","151,36","50,77","La Capitana 19, Lima, Peru Lima Departamen"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 19:25,Fuel Dropping,"151,22","95,89","-55,33","Av Las Torres-27, Lurigancho, Lima, Lima [Province] Lma"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 19:28,Fuel Dropping,"95,89","55,81","-40,08","Av Las Torres-27, Lurigancho, Lima, Lima [Province] Lma"
Unit: ACZ-912,Level (Gals),Change,5/09/2025 19:31,Fuel Raising,"55,81","151,22","95,41","Av Las Torres-26, Lurigancho, Lima, Lima [Province], Perú"
