"Unit","Driver","Event","Lat / Long","Date / Time","Speed","Address"
"AAA000","","Driving","3.299957 / -76.542503","Friday, November 14 2025, 07:38:50 am","23 KPH","Av. Cañasgordas, Cali, Valle del Cauca, Colombia"
"AAA000","","Driving","3.288105 / -76.546226","Friday, November 14 2025, 07:36:50 am","41 KPH","Av. Cañasgordas, Cali, Valle del Cauca, Colombia"
"AAA000","","Driving","3.280964 / -76.554967","Friday, November 14 2025, 07:34:50 am","36 KPH","Av. Cañasgordas, Jamundí, Valle del Cauca, Colombia"
"AAA000","","Driving","3.278799 / -76.556121","Friday, November 14 2025, 07:34:27 am","44 KPH","Av. Cañasgordas, Jamundí, Valle del Cauca, Colombia"
"AAA000","","Driving","3.264283 / -76.558176","Friday, November 14 2025, 07:32:38 am","29 KPH","Av. Cañasgordas, Jamundí, Valle del Cauca, Colombia"
"AAA000","","Driving","3.264049 / -76.558143","Friday, November 14 2025, 07:32:34 am","21 KPH","Av. Cañasgordas, Jamundí, Valle del Cauca, Colombia"
"AAA000","","Driving","3.263849 / -76.555087","Friday, November 14 2025, 07:31:52 am","18 KPH","Cra 23, Jamundí, Valle del Cauca, Colombia"
"AAA000","","Driving","3.262605 / -76.552579","Friday, November 14 2025, 07:31:14 am","10 KPH","Cra. 22, Jamundí, Valle del Cauca, Colombia"
"AAA000","","Driving","3.261300 / -76.549665","Friday, November 14 2025, 07:30:31 am","13 KPH","Av. Sachamate, Jamundí, Valle del Cauca, Colombia"
"AAA000","","Driving","3.272675 / -76.541530","Friday, November 14 2025, 07:28:36 am","28 KPH","Round point, Round Point, Av. Sachamate, Jamundí, Valle del Cauca, Colombia"
"AAA000","","Driving","3.283061 / -76.529277","Friday, November 14 2025, 07:26:36 am","70 KPH","Av. Sachamate, Jamundí, Valle del Cauca, Colombia"
"AAA000","","Driving","3.283298 / -76.527542","Friday, November 14 2025, 07:26:20 am","33 KPH","Av. Sachamate, Jamundí, Valle del Cauca, Colombia"
"AAA000","","Driving","3.283219 / -76.526178","Friday, November 14 2025, 07:26:06 am","33 KPH","Av. Sachamate, Jamundí, Valle del Cauca, Colombia"
"AAA000","","Driving","3.288098 / -76.524767","Friday, November 14 2025, 07:25:11 am","42 KPH","25, Cali, Valle del Cauca, Colombia"
"AAA000","","Driving","3.292333 / -76.523483","Friday, November 14 2025, 07:24:17 am","10 KPH","Autop. Cali - Jamundí, Cali, Valle del Cauca, Colombia"
"AAA000","","Driving","3.292347 / -76.523442","Friday, November 14 2025, 07:24:15 am","10 KPH","Autop. Cali - Jamundí, Cali, Valle del Cauca, Colombia"
"AAA000","","Driving","3.292321 / -76.523391","Friday, November 14 2025, 07:24:13 am","12 KPH","Autop. Cali - Jamundí, Cali, Valle del Cauca, Colombia"
"AAA000","","Driving","3.290472 / -76.523988","Friday, November 14 2025, 07:23:54 am","39 KPH","Autop. Cali - Jamundí, Cali, Valle del Cauca, Colombia"
"AAA000","","Driving","3.289696 / -76.524144","Friday, November 14 2025, 07:23:40 am","13 KPH","Autop. Cali - Jamundí, Cali, Valle del Cauca, Colombia"
"AAA000","","Driving","3.286365 / -76.514319","Friday, November 14 2025, 07:22:08 am","47 KPH","Vía El Castillo, Cali, Valle del Cauca, Colombia"
"AAA000","","Driving","3.286143 / -76.514019","Friday, November 14 2025, 07:22:04 am","39 KPH","Vía El Castillo, Cali, Valle del Cauca, Colombia"
"AAA000","","Driving","3.277483 / -76.516001","Friday, November 14 2025, 07:20:47 am","23 KPH","Via Acceso Cdad. Campestre el Castillo, Jamundí, Valle del Cauca, Colombia"
"AAA000","","Driving","3.276601 / -76.515689","Friday, November 14 2025, 07:20:31 am","29 KPH","Herrería 1, Jamundí, Valle del Cauca, Colombia"
"AAA000","","Driving","3.277341 / -76.508617","Friday, November 14 2025, 07:18:45 am","31 KPH","Vía Portales del Castillo, Jamundí, Valle del Cauca, Colombia"
"AAA000","","Driving","3.277372 / -76.508380","Friday, November 14 2025, 07:18:41 am","21 KPH","Vía Portales del Castillo, Jamundí, Valle del Cauca, Colombia"
"AAA000","","Driving","3.277455 / -76.508190","Friday, November 14 2025, 07:18:37 am","31 KPH","Vía Portales del Castillo, Jamundí, Valle del Cauca, Colombia"
"AAA000","","Driving","3.278419 / -76.503482","Friday, November 14 2025, 07:17:57 am","21 KPH","Robles Del Castillo, Jamundí, Valle del Cauca, Colombia"
"AAA000","","Driving","3.278360 / -76.503343","Friday, November 14 2025, 07:17:54 am","23 KPH","Robles Del Castillo, Jamundí, Valle del Cauca, Colombia"
"AAA000","","Driving","3.278244 / -76.503323","Friday, November 14 2025, 07:17:52 am","25 KPH","Robles Del Castillo, Jamundí, Valle del Cauca, Colombia"
"AAA000","","Driving","3.278130 / -76.503480","Friday, November 14 2025, 07:17:49 am","20 KPH","Robles Del Castillo, Jamundí, Valle del Cauca, Colombia"
"AAA000","","Driving","3.275653 / -76.504405","Friday, November 14 2025, 07:17:21 am","18 KPH","Robles Del Castillo, Jamundí, Valle del Cauca, Colombia"
"AAA000","","Driving","3.275576 / -76.504460","Friday, November 14 2025, 07:17:19 am","10 KPH","Robles Del Castillo, Jamundí, Valle del Cauca, Colombia"
"AAA000","","Driving","3.275597 / -76.504590","Friday, November 14 2025, 07:17:07 am","10 KPH","Robles del bg., Jamundí, Valle del Cauca, Colombia"
"AAA000","","Travel Start","3.276528 / -76.504351","Friday, November 14 2025, 07:16:41 am","15 KPH","Robles del bg., Jamundí, Valle del Cauca, Colombia"
"AAA000","","Ignition On","3.276705 / -76.505230","Friday, November 14 2025, 07:15:42 am","","Robles del bg., Jamundí, Valle del Cauca, Colombia"
