textbox12,textbox16,EventTime,Address,EndLandmark,textbox25,Driver,textbox20
,Unit: TDL795,1/12/2025 5:34:22 a.m.,"Cl9b 16c-51, Mosquera, Cundinamarca, Colombia",,00:00:32, ,# Stops: 71 - Max: 01:39:11 - Min: 00:00:11 - Total Stops: 07:25:36
,Unit: TDL795,1/12/2025 5:42:39 a.m.,"Cl9b 16c-50, Mosquera, Cundinamarca, Colombia",,01:39:11, ,# Stops: 71 - Max: 01:39:11 - Min: 00:00:11 - Total Stops: 07:25:36
,Unit: TDL795,1/12/2025 7:26:40 a.m.,"Cl9b 16c-51, Mosquera, Cundinamarca, Colombia",,00:08:36, ,# Stops: 71 - Max: 01:39:11 - Min: 00:00:11 - Total Stops: 07:25:36
,Unit: TDL795,1/12/2025 7:37:27 a.m.,"Av 50, Madrid, Cundinamarca",,00:00:33, ,# Stops: 71 - Max: 01:39:11 - Min: 00:00:11 - Total Stops: 07:25:36
,Unit: TDL795,1/12/2025 7:39:40 a.m.,"Av 50-19, Madrid, Cundinamarca, Colombia",,00:13:51, ,# Stops: 71 - Max: 01:39:11 - Min: 00:00:11 - Total Stops: 07:25:36
,Unit: TDL795,1/12/2025 8:08:40 a.m.,"Via Principal-86, Funza, Cundinamarca",,00:02:00, ,# Stops: 71 - Max: 01:39:11 - Min: 00:00:11 - Total Stops: 07:25:36
,Unit: TDL795,1/12/2025 8:14:40 a.m.,"Via Principal-89, Funza, Cundinamarca",,00:01:00, ,# Stops: 71 - Max: 01:39:11 - Min: 00:00:11 - Total Stops: 07:25:36
,Unit: TDL795,1/12/2025 8:16:40 a.m.,"Via Principal-4, Funza, Cundinamarca",,00:01:00, ,# Stops: 71 - Max: 01:39:11 - Min: 00:00:11 - Total Stops: 07:25:36
,Unit: TDL795,1/12/2025 8:21:40 a.m.,"Via Principal-61, Bogota, Cundinamarca",,00:02:00, ,# Stops: 71 - Max: 01:39:11 - Min: 00:00:11 - Total Stops: 07:25:36
,Unit: TDL795,1/12/2025 8:29:55 a.m.,"Glorieta-34, Bogota, Cundinamarca",,00:05:45, ,# Stops: 71 - Max: 01:39:11 - Min: 00:00:11 - Total Stops: 07:25:36
,Unit: TDL795,1/12/2025 8:50:40 a.m.,"Cl80 104-34, Bogota, Cundinamarca",,00:00:59, ,# Stops: 71 - Max: 01:39:11 - Min: 00:00:11 - Total Stops: 07:25:36
,Unit: TDL795,1/12/2025 8:54:40 a.m.,"Cl80 94-16, Bogota, Cundinamarca",,00:01:59, ,# Stops: 71 - Max: 01:39:11 - Min: 00:00:11 - Total Stops: 07:25:36
,Unit: TDL795,1/12/2025 8:57:40 a.m.,"Cl80 81-43, Bogota, Cundinamarca",,00:01:00, ,# Stops: 71 - Max: 01:39:11 - Min: 00:00:11 - Total Stops: 07:25:36
,Unit: TDL795,1/12/2025 9:01:39 a.m.,"Av Cl80-90, Bogota, Cundinamarca",,00:01:01, ,# Stops: 71 - Max: 01:39:11 - Min: 00:00:11 - Total Stops: 07:25:36
,Unit: TDL795,1/12/2025 9:05:40 a.m.,"Cl80-84, Bogota, Cundinamarca",,00:00:59, ,# Stops: 71 - Max: 01:39:11 - Min: 00:00:11 - Total Stops: 07:25:36
,Unit: TDL795,1/12/2025 9:08:40 a.m.,"Kr56bis 79bbis-67, Bogota, Cundinamarca, Colombia",,00:22:20, ,# Stops: 71 - Max: 01:39:11 - Min: 00:00:11 - Total Stops: 07:25:36
,Unit: TDL795,1/12/2025 9:31:15 a.m.,"Kr56 79b-80, Bogota, Cundinamarca",,00:01:02, ,# Stops: 71 - Max: 01:39:11 - Min: 00:00:11 - Total Stops: 07:25:36
,Unit: TDL795,1/12/2025 9:34:40 a.m.,"Entrada A La Nqs-45, Bogota, Cundinamarca",,00:03:59, ,# Stops: 71 - Max: 01:39:11 - Min: 00:00:11 - Total Stops: 07:25:36
,Unit: TDL795,1/12/2025 9:45:40 a.m.,"Kr50 94-12, Bogota, Cundinamarca",,00:03:57, ,# Stops: 71 - Max: 01:39:11 - Min: 00:00:11 - Total Stops: 07:25:36
,Unit: TDL795,1/12/2025 9:50:35 a.m.,"Cl91a 50-15, Bogota, Cundinamarca",,00:00:44, ,# Stops: 71 - Max: 01:39:11 - Min: 00:00:11 - Total Stops: 07:25:36
,Unit: TDL795,1/12/2025 9:51:29 a.m.,"Cl92 60-7, Bogota, Cundinamarca",,00:20:48, ,# Stops: 71 - Max: 01:39:11 - Min: 00:00:11 - Total Stops: 07:25:36
,Unit: TDL795,1/12/2025 10:13:02 a.m.,"Kr58 93a-23, Bogota, Cundinamarca, Colombia",,00:10:58, ,# Stops: 71 - Max: 01:39:11 - Min: 00:00:11 - Total Stops: 07:25:36
,Unit: TDL795,1/12/2025 10:24:21 a.m.,"Cl94 57-13, Bogota, Cundinamarca",,00:01:19, ,# Stops: 71 - Max: 01:39:11 - Min: 00:00:11 - Total Stops: 07:25:36
,Unit: TDL795,1/12/2025 10:29:25 a.m.,"Cl80 29-14, Bogota, Cundinamarca",,00:02:15, ,# Stops: 71 - Max: 01:39:11 - Min: 00:00:11 - Total Stops: 07:25:36
,Unit: TDL795,1/12/2025 10:34:40 a.m.,"Kr29c 75-70, Bogota, Cundinamarca",,00:09:20, ,# Stops: 71 - Max: 01:39:11 - Min: 00:00:11 - Total Stops: 07:25:36
,Unit: TDL795,1/12/2025 10:49:40 a.m.,"Kr29b 70-70, Bogota, Cundinamarca",,00:09:46, ,# Stops: 71 - Max: 01:39:11 - Min: 00:00:11 - Total Stops: 07:25:36
,Unit: TDL795,1/12/2025 11:03:40 a.m.,"Kr27 66-46, Bogota, Cundinamarca, Colombia",,00:23:59, ,# Stops: 71 - Max: 01:39:11 - Min: 00:00:11 - Total Stops: 07:25:36
,Unit: TDL795,1/12/2025 11:31:13 a.m.,"Calle 71 # 23-1 a 23-99, Bogotá, Cundinamarca, Colombia",,00:10:48, ,# Stops: 71 - Max: 01:39:11 - Min: 00:00:11 - Total Stops: 07:25:36
,Unit: TDL795,1/12/2025 11:44:40 a.m.,"Kr24 73-84, Bogota, Cundinamarca",,00:01:28, ,# Stops: 71 - Max: 01:39:11 - Min: 00:00:11 - Total Stops: 07:25:36
,Unit: TDL795,1/12/2025 11:47:40 a.m.,"Cl75 24-18, Bogota, Cundinamarca",,00:12:09, ,# Stops: 71 - Max: 01:39:11 - Min: 00:00:11 - Total Stops: 07:25:36
,Unit: TDL795,1/12/2025 12:00:23 p.m.,"Kr24 75-13, Bogota, Cundinamarca",,00:01:17, ,# Stops: 71 - Max: 01:39:11 - Min: 00:00:11 - Total Stops: 07:25:36
,Unit: TDL795,1/12/2025 12:02:40 p.m.,"Kr24 78-88, Bogota, Cundinamarca",,00:00:55, ,# Stops: 71 - Max: 01:39:11 - Min: 00:00:11 - Total Stops: 07:25:36
,Unit: TDL795,1/12/2025 12:05:40 p.m.,"Kr23 80-13, Bogota, Cundinamarca, Colombia",,00:11:37, ,# Stops: 71 - Max: 01:39:11 - Min: 00:00:11 - Total Stops: 07:25:36
