"Unit","Time & Date (COT)","Driver","Address","Event","Idle Time (minutes)"
"TDL795","01/12/2025 05:42 AM","","Avda Troncal de Occidente # 18 - 76 Parque Industrial Santo Domingo, Mosquera, Cundinamarca, 250040","Idle","99.52"
"TDL795","01/12/2025 14:52 PM","","2 Este9 Cl. 46, Bogotá, Bogotá, 110311","Idle","1.33"
