,IMEI
0,6B3101B7
2,6B3101GC
4,6B31113H
6,6B3013YV
8,6B3013ZJ
10,6B3013ZT
12,6B30140X
13,6B3013WV
16,6B3013X7
17,6B3101EB
19,6B301415
21,6B3013XB
23,6B301403
25,6B301412
28,6B31115A
32,6B31116H
34,6B311163
36,6B31115R
38,6B3101CU
