,Created,Message,Status
0,2025-08-20 19:03:40.509,"{""notificationType"":""AutoSnapshot"",""sn"":""6B31111D"",""pictureID"":""1118222456784560128"",""time"":1755716614000,""rotate"":""upsidedown"",""url"":""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/6B31111D/1118222456784560128/thumbnails/1000.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC82QjMxMTExRC8xMTE4MjIyNDU2Nzg0NTYwMTI4L3RodW1ibmFpbHMvMTAwMC5qcGciLCJDb25kaXRpb24iOnsiRGF0ZUxlc3NUaGFuIjp7IkFXUzpFcG9jaFRpbWUiOjE3NzE1Mjc4MjB9fX1dfQ__&Signature=NEARU1TA0WY1lpy5XgMUhaz~gZxoNRE5tYV-M0HScA4pESWlSlpKUBIlslnb2QZ7uDzybFQe2KcsiHXlohe8bYAENpbOs5vAjJOf3NKLr7ubLPhGzVdyUtWRA6Fvjt95dg9k6C8VCIQfgZs79n8YegSYX79gJVeWwvn07VvlTrgmen1dnBP3lRxGqFLwre9wC0lhupUfluNEnPd1Y8NQqO~i6RxIohdi42HN97BfxrTCQ0lfH1B-7NxMcTRwH8K4mSpTRZsB8jpIOZeWV5s7mKSrNwmgR3rGmAn-e0nOJ-yaDRmWtWSDR2RV02zRWPx7cuCP08n-KiJXOHqdifEeqA__&Key-Pair-Id=K1KFJH9S65S6E2"",""fileSize"":77094,""tripID"":""30a8c408-64ef-4a11-a16c-944e596e4816"",""timezone"":""-05:00"",""gpsData"":{""source"":""lastValid"",""sysTime"":1753974366721,""time"":1753974367000,""speed"":0,""heading"":195.60000610351562,""coordinate"":[-76.52605533,3.46537595,997.0999756],""hDop"":70,""vDop"":70},""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""ioVv71nD6aQWF7ZEVPSpjLaqzHUkIh/PuqkjzMfTOdM="",""useCache"":true}",0x5B6F626A656374204F626A6563745D
11,2025-08-20 19:12:49.457,"{""notificationType"":""AutoSnapshot"",""sn"":""6B31111D"",""pictureID"":""1118224757091868672"",""time"":1755717164000,""rotate"":""upsidedown"",""url"":""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/6B31111D/1118224757091868672/thumbnails/1000.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC82QjMxMTExRC8xMTE4MjI0NzU3MDkxODY4NjcyL3RodW1ibmFpbHMvMTAwMC5qcGciLCJDb25kaXRpb24iOnsiRGF0ZUxlc3NUaGFuIjp7IkFXUzpFcG9jaFRpbWUiOjE3NzE1MjgzNjl9fX1dfQ__&Signature=MTgXhVy4V-FUIVY05RMRxHGdjRDcR8rrI2~1Q2N5VXzVnNhvVi68egCJ7MqrDDHDdUU8etD18PCKlV8GV9BLAfiEaUPZRNZHBzkg2yzskyudVbW0QHQokozMOlYpHL2zSe8IO0E0sq-LDWSOg5tVHqEAZ3zLMQ9FYCMTMixVuYFsWJsjVWDOBNC4h-5iyRSDMhbjwHU4gwV6jwX2ag~wQoUNC~prdfbVAFIn-nkiD9ZEpHVcvDRaZBum9XnRm1gls80bSrj5~UpHGxU0LqgPxX2nJhDbWuShYq66eHG9icY5H0UhP81SNmpK9Vi1rKk9ubogQlWOutb3I35n3IQCig__&Key-Pair-Id=K1KFJH9S65S6E2"",""fileSize"":128839,""tripID"":""30a8c408-64ef-4a11-a16c-944e596e4816"",""timezone"":""-05:00"",""gpsData"":{""source"":""lastValid"",""time"":1755716767000,""speed"":-1,""heading"":-1,""coordinate"":[-74.165641,4.755211,0],""hDop"":-1,""vDop"":-1},""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""SLRs3/5lJoRFFQjmR6EhZATNmfG4JcYr8wNKQ9sTyC0="",""useCache"":true}",0x5B6F626A656374204F626A6563745D
12,2025-08-20 19:16:02.884,"{""notificationType"":""AutoSnapshot"",""sn"":""6B31111D"",""pictureID"":""1118225571608928256"",""time"":1755717358000,""rotate"":""upsidedown"",""url"":""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/6B31111D/1118225571608928256/thumbnails/8000.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC82QjMxMTExRC8xMTE4MjI1NTcxNjA4OTI4MjU2L3RodW1ibmFpbHMvODAwMC5qcGciLCJDb25kaXRpb24iOnsiRGF0ZUxlc3NUaGFuIjp7IkFXUzpFcG9jaFRpbWUiOjE3NzE1Mjg1NjJ9fX1dfQ__&Signature=WGeG34qLil6TWdtH4W8m5Vmru~HT-nBLnhHaCjQJyrtxOO93YnzRop6qSS9VO5QucznJuvdQ4i0fbj5J19Agl8FvW0QZ4nfKktc86niu20XDoFK4xflqpIfp-j8wsQVZ3pklGs7vzOYBh3~8jv5gy8ZjqpLe02cRTeddqhC8cqHwOqqcCTOn1KazAe1i-TqSukBiK8qBUueAGGf80Wabtq5-45MpXq2kRnOLpFQFRSAxkN778df7OJuIZNs5cnaXLUpiQs4Ua2cVtnpanmMhQdt3RgitIJXvjgAkN1~Z4JhyYXbRfNw4TsdGngPkIA6VLRGV2j0JV5jVGFWC5a~jTQ__&Key-Pair-Id=K1KFJH9S65S6E2"",""fileSize"":128025,""tripID"":""6d45f1e6-971e-4405-95eb-3b8350fb616b"",""timezone"":""-05:00"",""gpsData"":{""source"":""lastValid"",""time"":1755716767000,""speed"":-1,""heading"":-1,""coordinate"":[-74.165641,4.755211,0],""hDop"":-1,""vDop"":-1},""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""iyeDV/vGVu5WNs+dcNxX6JQtVzDY/fFhAK8RoVzSHe8="",""useCache"":true}",0x5B6F626A656374204F626A6563745D
23,2025-08-20 19:22:04.664,"{""notificationType"":""AutoSnapshot"",""sn"":""6B31111D"",""pictureID"":""1118227089099726848"",""time"":1755717718000,""rotate"":""upsidedown"",""url"":""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/6B31111D/1118227089099726848/thumbnails/368000.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC82QjMxMTExRC8xMTE4MjI3MDg5MDk5NzI2ODQ4L3RodW1ibmFpbHMvMzY4MDAwLmpwZyIsIkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTc3MTUyODkyNH19fV19&Signature=qt2ntkFLPNHpgKqHJ4gCX6zddGkZJ4CUZbvpCdIuuDVMy~w8XhAXM6pmAsvoy7M5NDlrIeuPnPyE-2KveRaXhjCrKE8nasbsnhgvXJ4LJY8lZFRdC-8inUWlybil1C52FDn0RC-6o3vVbaHRGDUU9TOiuB2~DiSM23xnEH5Axt9L8r0tEvk7QUNeeHB~oF8gAlmP1TxgBfBczmt6Ppsv7QSfpeihHQQZsZVsYWohXj-C-at9zTOYBbSpCdnWR5rwPNCWocVr32F94lDcqxsylIVVWpjrsvVJ-BA2OQWKb2Wk4Ei7lOysUU7GGMcv9qLS2bYldozIDuytnoHMFjnHTg__&Key-Pair-Id=K1KFJH9S65S6E2"",""fileSize"":132028,""tripID"":""6d45f1e6-971e-4405-95eb-3b8350fb616b"",""timezone"":""-05:00"",""gpsData"":{""source"":""hardware"",""sysTime"":1755717717527,""time"":1755717719000,""speed"":0,""heading"":0,""coordinate"":[-74.16568232,4.755219617,2586.600098],""hDop"":60,""vDop"":70},""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""cZXXf7cPNdnVeEeltlopnJrxJFz2rc0rm6liKTdt1p8="",""useCache"":true}",0x5B6F626A656374204F626A6563745D
24,2025-08-20 19:27:41.451,"{""notificationType"":""AutoSnapshot"",""sn"":""6B31111D"",""pictureID"":""1118228500696932352"",""time"":1755718056000,""rotate"":""upsidedown"",""url"":""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/6B31111D/1118228500696932352/thumbnails/8000.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC82QjMxMTExRC8xMTE4MjI4NTAwNjk2OTMyMzUyL3RodW1ibmFpbHMvODAwMC5qcGciLCJDb25kaXRpb24iOnsiRGF0ZUxlc3NUaGFuIjp7IkFXUzpFcG9jaFRpbWUiOjE3NzE1MjkyNjF9fX1dfQ__&Signature=H9d5YJaSF2T6xmc6XXv9frqyzB9LGffTB1wwj1d9W3EOxJiTFnMHImdsJTNXtTrRKhD0v7lyhAylb3nsHd6kRckejJtIPP-LYsy81KpzrC716BGnL1V0hNeK2d5U~RJaGVIY1~TbKNjMvQJ7I3rU4K-uv~r36aJJLqxZqMVoImOjAUvnSHMSLZkd4CGVYNfKZ6WWKRMKS4zvoaFLbAt6evcJUi679TNL-PpS-NIGwtcBsKhoe0Ve8xEnf-FhtmaMr2qEeW69gA9cTSgptyPpDWjw0cvkpA9Qv3KM6-YYae2WigKMu2LCQiDkE26BiZZ6c3sqLhhhE-BZnAgH0hG~WA__&Key-Pair-Id=K1KFJH9S65S6E2"",""fileSize"":133457,""tripID"":""b8655272-19df-442e-bf7d-64a967135337"",""timezone"":""-05:00"",""gpsData"":{""source"":""hardware"",""sysTime"":1755718055497,""time"":1755718057000,""speed"":0,""heading"":0,""coordinate"":[-74.16564762,4.75521025,2580.899902],""hDop"":60,""vDop"":70},""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""pUbJQFGkp/8K7+bpt9vBfDaQgLRSoRLM/qCgXZs5xkc="",""useCache"":true}",0x5B6F626A656374204F626A6563745D
27,2025-08-20 20:34:40.425,"{""notificationType"":""AutoSnapshot"",""sn"":""6B31111D"",""pictureID"":""1118245356556132352"",""time"":1755722074000,""rotate"":""upsidedown"",""url"":""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/6B31111D/1118245356556132352/thumbnails/8000.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC82QjMxMTExRC8xMTE4MjQ1MzU2NTU2MTMyMzUyL3RodW1ibmFpbHMvODAwMC5qcGciLCJDb25kaXRpb24iOnsiRGF0ZUxlc3NUaGFuIjp7IkFXUzpFcG9jaFRpbWUiOjE3NzE1MzMyODB9fX1dfQ__&Signature=FnILdedfnMR0KzfCZsH3QyYTzDNWXmvxkIdVCQt7V0juw399XAUCGNtNb52Rf-uEFp7ZQgI0-ViLKs6heJ6XX4qi4MMe9bxAnTtqo0HceunY~8k3VFEKY6mNZJBYBUT-RDg2kvlviP9KvP92RhpJEkblACRp2WJjKOSrPjC~yjejLq~n6fcRbSGNqlsOU5BAdqavh6zS4VHR-sZ0KhwLVtask-LDaxFw6FFO8owiKloVTZOHqfYFl1fWuPpCpeqtSF-0YVsYD~nQ9jtl73WbqmVNvQIzrMk1gTLFpucOHYDuAfXCj-ALvkW9p~2pWcFpMYzbeibrGC37SVdAHDhHlg__&Key-Pair-Id=K1KFJH9S65S6E2"",""fileSize"":130826,""tripID"":""f7ef22c8-6fc7-4663-811a-4118af86d5d0"",""timezone"":""-05:00"",""gpsData"":{""source"":""lastValid"",""sysTime"":1755718079478,""time"":1755718081000,""speed"":0,""heading"":0,""coordinate"":[-74.16564428,4.755206733,2580.100098],""hDop"":60,""vDop"":70},""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""VYp25pY4pCgNPsI9jqBEjouyp7XCpZBMcPiQ51mRPlQ="",""useCache"":true}",0x5B6F626A656374204F626A6563745D
36,2025-08-20 20:44:38.767,"{""notificationType"":""AutoSnapshot"",""sn"":""6B31111D"",""pictureID"":""1118247867295866880"",""time"":1755722673000,""rotate"":""upsidedown"",""url"":""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/6B31111D/1118247867295866880/thumbnails/607000.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC82QjMxMTExRC8xMTE4MjQ3ODY3Mjk1ODY2ODgwL3RodW1ibmFpbHMvNjA3MDAwLmpwZyIsIkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTc3MTUzMzg3OH19fV19&Signature=AHMBYfG7ElzAdukpluz3LJ6BR3uWobETzzH-5bZdFhm5~5n1pm6EEH7YuUNEksoWhVWBWKhdstA1G8aPJd7UOaJCNbBuqiczMIgJQJpqumsLmPzfsCMZBLTggub5oC6ZSzM~2c0-MPKalZ5ryOnh32odbPix08m2FlHKDo3Xl7l2Q8koIo5CanbDMYydbCzZ5nlFnJhX3sTiY~KoZqgaaQGBo7q6LkRfpug2eznOsKx01Cfyee3HP51dUzRNAg85UjHoKv1CbR6grto2kGN7AfehgdgNNmR7jFS4i5nffOrkrVg5mmXrMR6sWRqErO2nEsMjkvVJ0m1D~02LZnNoKw__&Key-Pair-Id=K1KFJH9S65S6E2"",""fileSize"":129989,""tripID"":""f7ef22c8-6fc7-4663-811a-4118af86d5d0"",""timezone"":""-05:00"",""gpsData"":{""source"":""hardware"",""sysTime"":1755722672569,""time"":1755722674000,""speed"":0,""heading"":265.7,""coordinate"":[-74.16590878,4.75531325,2612.5],""hDop"":60,""vDop"":70},""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""30524tygzXwW4tCYUSL9WkgkXFcHndGqxQFPNQf9vqQ="",""useCache"":true}",0x5B6F626A656374204F626A6563745D
42,2025-08-20 20:47:54.054,"{""notificationType"":""AutoSnapshot"",""sn"":""6B31111D"",""pictureID"":""1118248686325997568"",""time"":1755722866000,""rotate"":""upsidedown"",""url"":""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/6B31111D/1118248686325997568/thumbnails/800000.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC82QjMxMTExRC8xMTE4MjQ4Njg2MzI1OTk3NTY4L3RodW1ibmFpbHMvODAwMDAwLmpwZyIsIkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTc3MTUzNDA3M319fV19&Signature=Chx2YRC3U~Uiemt~YxwQ9eOcND4LTxX9F~zQ0R6KJMUHUMmO045bNmt~XISWBBrHwjCg7hNnP5LM7p8ZEb9FifInWaEcgyovbpl7iUlRmB-wxYvM0PqMuNKMLqzNjNEd2M7yG2pssdpeXK13msO8iIw5PI0btUbPNRgF5etW5BNHh5uhnpzO0ECJ6YgLsp43tkD24mGdALOZCq8Z2a3iqSmlCUjwMZYygnVHRRQsL8xxQ97xrQws-HehLnoUgo3RHhzFrDcm3iNGIOrYoytB4g-CJdVU4c99t-3F53M8iEFj9f484S9XU19AnCItQ9~rWLc2iDPi1CO-7HfIJ19T8A__&Key-Pair-Id=K1KFJH9S65S6E2"",""fileSize"":130854,""tripID"":""f7ef22c8-6fc7-4663-811a-4118af86d5d0"",""timezone"":""-05:00"",""gpsData"":{""source"":""hardware"",""sysTime"":1755722865666,""time"":1755722867000,""speed"":0,""heading"":265.7,""coordinate"":[-74.16590972,4.755319883,2613.899902],""hDop"":70,""vDop"":70},""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""Cye45+1B7MygLX2Qb0XnHoc9gg0q3mFQOqQEHOPE75w="",""useCache"":true}",0x5B6F626A656374204F626A6563745D
45,2025-08-20 20:48:29.073,"{""notificationType"":""AutoSnapshot"",""sn"":""6B31111D"",""pictureID"":""1118248833281826816"",""time"":1755722905000,""rotate"":""upsidedown"",""url"":""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/6B31111D/1118248833281826816/thumbnails/35000.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC82QjMxMTExRC8xMTE4MjQ4ODMzMjgxODI2ODE2L3RodW1ibmFpbHMvMzUwMDAuanBnIiwiQ29uZGl0aW9uIjp7IkRhdGVMZXNzVGhhbiI6eyJBV1M6RXBvY2hUaW1lIjoxNzcxNTM0MTA5fX19XX0_&Signature=gn6ghNDZ3ieloxCW6mNEnPUVKd~UU8Wn8s3Mf2opPIbFuktGwIGBY1tmXNhiD9m-OE8t1x9UkMctK7XGyvMNqGZSvJjywbFU~BfqJDku9xdnjh~oJDQfOoXyN9MNdTMXV9nUuLd7gdgauS~m62wHLIXxgFQJOH~TenyQ~AV7IiafWFreae6315BpqLfB4iW0FaEmycrvcrfVP0C5F0jyMJC8M5tTuwlVzP95NUy6xvXpHd427gibgVRzrvzDNf1gGQlMsmgazW0yfffRtr5BawGKg7DYSYH~Sajm~XHONVupaFi8XPrLQ1z25LPAi3WGOIsSGDZ5VLhqPAc~K3yWNw__&Key-Pair-Id=K1KFJH9S65S6E2"",""fileSize"":131051,""tripID"":""f7ef22c8-6fc7-4663-811a-4118af86d5d0"",""timezone"":""-05:00"",""gpsData"":{""source"":""hardware"",""sysTime"":1755722904442,""time"":1755722905000,""speed"":0,""heading"":265.7,""coordinate"":[-74.16590943,4.755320167,2613.899902],""hDop"":60,""vDop"":70},""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""rPKajEJlU/xn4YP9SA/axQzgOEjDxbvb4H2SRFFTrDA="",""useCache"":true}",0x5B6F626A656374204F626A6563745D
50,2025-08-20 20:50:52.794,"{""notificationType"":""AutoSnapshot"",""sn"":""6B31111D"",""pictureID"":""1118249434577248256"",""time"":1755723046000,""rotate"":""upsidedown"",""url"":""https://cdn.vidfleet-api.gpstrackit.com/clip/8a4b5e9b4dad4f7595cdf86e5ec8c8ca/default/6B31111D/1118249434577248256/thumbnails/138000.jpg?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9jZG4udmlkZmxlZXQtYXBpLmdwc3RyYWNraXQuY29tL2NsaXAvOGE0YjVlOWI0ZGFkNGY3NTk1Y2RmODZlNWVjOGM4Y2EvZGVmYXVsdC82QjMxMTExRC8xMTE4MjQ5NDM0NTc3MjQ4MjU2L3RodW1ibmFpbHMvMTM4MDAwLmpwZyIsIkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTc3MTUzNDI1Mn19fV19&Signature=KST8LfunGQ05SkdAQg7~VFVmedV6BM8IeC~uv6hp0wzIo3uIi5xbx4gHDkyWMHKpLzRuD3zk~nQj3TW5wpRKDGmZu24r3GY7xHqRFCdk9wqad-udqFn0iGJ~CgyBcSq4Tag9XmyOQ2filNdm5ECmxaLlk56Rt6dMUI9xRfjGdogD-QDzL-thOzW4WDBi5ptbJoiZMguF6tq97IAAuXlHB7dv~B1o4h603m~EQ7mqwa8N0VLuYGyHvf1rHWTGZI8e03SvHbAWzd~cPbDJ56FnZ9xekFJmbOD1XUzgUWEeWkPB5kLu3B6liaQwhFUVuWg-3kOGnynzpGT1qE7GM00mqg__&Key-Pair-Id=K1KFJH9S65S6E2"",""fileSize"":126035,""tripID"":""1dd1b536-15da-4be9-81e2-ab7777758229"",""timezone"":""-05:00"",""gpsData"":{""source"":""hardware"",""sysTime"":1755723045452,""time"":1755723046000,""speed"":0,""heading"":265.7,""coordinate"":[-74.16590477,4.7553174,2613],""hDop"":70,""vDop"":70},""accessKeyID"":""Tsomobile_03ZhM6I4uRjzW"",""sign"":""hpf91Ee4FKTjyI5jC2/kNFiIg0X/j+FrQbNdGQUuo9Q="",""useCache"":true}",0x5B6F626A656374204F626A6563745D
