,IMEI
0,8B51424R
6,8B5141WV
8,8B51428A
14,8B5141VN
16,8B51421R
18,8B5141S4
20,8B51421M
22,8B51424U
24,8B51425E
26,8B5141TA
28,8B5141SS
30,8B5141VT
