,Volume,NCode
256,969.06496,1310
257,972.85037,1311
258,976.6357800000001,1312
259,980.42119,1312
260,984.2066000000001,1313
261,987.99201,1313
262,991.77742,1314
263,995.5628300000001,1314
264,999.34824,1314
265,1003.13365,1315
266,1006.9190600000001,1315
267,1010.70447,1315
268,1014.4898800000001,1315
269,1018.27529,1315
270,1022.0607,1315
271,1025.84611,1314
272,1029.6315200000001,1314
273,1033.41693,1314
274,1037.20234,1313
275,1040.98775,1313
276,1044.77316,1313
277,1048.5585700000001,1312
278,1052.34398,1312
279,1056.12939,1312
280,1059.9148,1312
281,1063.70021,1312
282,1067.4856200000002,1312
283,1071.27103,1312
284,1075.05644,1311
285,1078.84185,1312
286,1082.62726,1313
287,1086.41267,1314
288,1090.1980800000001,1314
289,1093.98349,1313
290,1097.7689,1312
291,1101.55431,1313
292,1105.33972,1314
293,1109.1251300000001,1314
294,1112.91054,1315
295,1116.69595,1316
296,1120.48136,1316
297,1124.26677,1317
298,1128.0521800000001,1317
299,1131.83759,1317
300,1135.623,1317
301,1139.40841,1318
302,1143.19382,1318
303,1146.9792300000001,1316
304,1150.76464,1412
305,1154.55005,1412
306,1158.33546,1303
307,1162.12087,1312
308,1165.9062800000002,1313
309,1169.69169,1313
310,1173.4771,1314
311,1177.26251,1314
312,1181.04792,1315
313,1184.8333300000002,1315
314,1188.6187400000001,1315
315,1192.40415,1316
316,1196.18956,1317
317,1199.97497,1317
318,1203.76038,1317
319,1207.5457900000001,1318
320,1211.3312,1318
321,1215.11661,1319
