,Unit,Distancer (Km),Mileage
0,LUL144,3683.26,"1.639,00"
1,IBZ301 AIR2,24.18,"172,20"
2,SXZ756,2186.55,"806,84"
3,TDL796,995.28,"566,76"
4,LQK053,1250.33,"750,16"
5,LQK054,897.44,"567,79"
6,NOY423,931.46,"531,02"
7,NOY424,917.86,"628,38"
8,SMR391,1036.57,"612,19"
9,TDL795,915.23,"567,57"
10,SMR198,874.48,"514,99"
11,SXY625,1729.67,"844,58"
12,TDL797,899.86,"351,93"
