,Dealer,Company,Monthly fee
45,TSO Mobile Peru,CORPORACION RICO S.A.C.,45
46,TSO Mobile Peru,CORPORACION RICO S.A.C.,15
47,TSO Mobile Peru,CENTURY ECOLOGICAL CORPORATION S.A.C ECOCENTURY S.A.C,16
48,TSO Mobile - Colombia,TSO TRANSITO LABORATORIO ,5800000
49,TSO Mobile - Colombia,TTSO MOBILE S.A.S. COLOMBIA.,0
50,TSO Mobile Peru,EMP. TRANSP.GAMBINI SR.LTDA.,"20,2"
51,TSO Mobile Peru,DEPOSITOS QUIMICOS MINEROS S.A.,79
52,TSO Mobile Peru,DEPOSITOS QUIMICOS MINEROS S.A.,15
53,TSO Mobile - Colombia,PROYECTOS DE INGENIERIA SA PROING SA,29000
54,TSO Mobile Peru,CORPORACION RICO S.A.C.,45
55,TSO Mobile - Colombia,COMBUSTIBLES JUANCHITO S A S,56000
56,TSO Mobile - Colombia,COMBUSTIBLES JUANCHITO S A S,56000
57,TSO Mobile - Colombia,CREPES Y WAFFLES SA,59800
58,TSO Mobile Peru,CHANALTIN S.A.C.,19
59,TSO Mobile Peru,DEPOSITOS QUIMICOS MINEROS S.A.,"16,17"
60,TSO Mobile Peru,CORPORACION RICO S.A.C.,45
61,TSO Mobile Peru,CORPORACION RICO S.A.C.,45
62,TSO Mobile - Colombia,CREPES Y WAFFLES SA,59800
63,TSO Mobile Peru,CORPORACION RICO S.A.C.,15
64,TSO Mobile Peru,CORPORACION RICO S.A.C.,45
65,TSO Mobile - Colombia,TTSO MOBILE S.A.S. COLOMBIA.,"29,99"
66,TSO Mobile Peru,CORPORACION RICO S.A.C.,15
67,TSO Mobile - Colombia,CREPES Y WAFFLES SA,59800
68,TSO Mobile - Colombia,CREPES Y WAFFLES SA,59800
69,TSO Mobile - Colombia,CREPES Y WAFFLES SA,59800
70,TSO Mobile - Colombia,CREPES Y WAFFLES SA,59800
71,TSO Mobile Peru,CORPORACION RICO S.A.C.,45
72,TSO Mobile - Colombia,CREPES Y WAFFLES SA,59800
73,TSO Mobile - Colombia,AMERICANA SERVICIOS AMBIENTALES Y PETROLEROS S.A. ASAP S A - EN REORGANIZACION,49917
74,TSO Mobile Peru,CORPORACION RICO S.A.C.,45
75,TSO Mobile - Colombia,CREPES Y WAFFLES SA,59800
76,TSO Mobile - Colombia,CREPES Y WAFFLES SA,59800
77,TSO Mobile - Colombia,CREPES Y WAFFLES SA,59800
78,TSO Mobile - Colombia,CREPES Y WAFFLES SA,59800
79,TSO Mobile Peru,TSO LABORATORIO PERU,"29,99"
80,TSO Mobile Peru,CORPORACION RICO S.A.C.,15
81,TSO Mobile Peru,CORPORACION RICO S.A.C.,45
82,TSO Mobile - Colombia,CREPES Y WAFFLES SA,59800
83,TSO Mobile Peru,CORPORACION RICO S.A.C.,45
84,TSO Mobile Peru,CORPORACION RICO S.A.C.,45
85,TSO Mobile - Colombia,CREPES Y WAFFLES SA,59800
86,TSO Mobile - Colombia,VLF MONTAJES ELECTROMECANICOS SAS,90867
87,TSO Mobile - Colombia,AMERICANA SERVICIOS AMBIENTALES Y PETROLEROS S.A. ASAP S A - EN REORGANIZACION,49917
88,TSO Mobile - Colombia,INVERSIONES Y ASESORIAS HN SAS,49800
89,TSO Mobile Peru,TRANSPORTES CORPORATIVOS 3G S.A.C. - TC3G S.A.C.,"29,99"
