"Unit","Driver","Event","Lat / Long","Date / Time","Speed","Address"
"BPK-942","","Ignition Off","-11.098310 / -77.603611","Thursday, September 04 2025, 09:56:39 am","","C. Ciro Alegría 318, Huacho 15137, Peru"
"BPK-942","","Ignition On","-11.098318 / -77.603677","Thursday, September 04 2025, 09:56:02 am","","C. Ciro Alegría 318, Huacho 15137, Peru"
"BPK-942","","Travel Stop","-11.098312 / -77.603636","Thursday, September 04 2025, 09:55:46 am","","C. Ciro Alegría 318, Huacho 15137, Peru"
"BPK-942","","Travel Stop","-11.098417 / -77.603824","Thursday, September 04 2025, 09:54:20 am","4 KPH","J, W92W+PFC, Hualmay 15137, Peru"
"BPK-942","","Travel Start","-11.099795 / -77.603380","Thursday, September 04 2025, 09:53:00 am","21 KPH","Mariscal Castilla 154-158, Huacho 15137, Peru"
"BPK-942","","Travel Stop","-11.100966 / -77.603294","Thursday, September 04 2025, 09:52:30 am","5 KPH","Av. Domingo Mandamiento Sipán 221, Huacho 15137, Peru"
"BPK-942","","Drive","-11.098555 / -77.599653","Thursday, September 04 2025, 09:51:44 am","31 KPH","Av. Domingo Mandamiento Sipán 483-403, Huacho 15137, Peru"
"BPK-942","","Drive","-11.098513 / -77.599607","Thursday, September 04 2025, 09:51:14 am","34 KPH","Av. Domingo Mandamiento Sipán 483-403, Huacho 15137, Peru"
"BPK-942","","Drive","-11.097257 / -77.597787","Thursday, September 04 2025, 09:50:44 am","13 KPH","Av. Domingo Mandamiento Sipán, Huacho 15137, Peru"
"BPK-942","","Travel Start","-11.096078 / -77.596230","Thursday, September 04 2025, 09:50:14 am","28 KPH","Av. Domingo Mandamiento Sipán, Huacho 15137, Peru"
"BPK-942","","Travel Stop","-11.095068 / -77.595082","Thursday, September 04 2025, 09:49:49 am","5 KPH","Av. Panamericana Nte. 809, Huacho 15137, Peru"
"BPK-942","","Drive","-11.095281 / -77.594908","Thursday, September 04 2025, 09:49:26 am","23 KPH","Av. Cruz Blanca 799-797, Huacho 15137, Peru"
"BPK-942","","Drive","-11.096362 / -77.595091","Thursday, September 04 2025, 09:48:56 am","20 KPH","Av. Cruz Blanca 1972-2034, Huacho 15137, Peru"
"BPK-942","","Travel Start","-11.098676 / -77.595943","Thursday, September 04 2025, 09:48:27 am","36 KPH","AV.CRUZ BLANCA-1878 SANTA MARIA AV CRUZ BLANCA1878, Santa María 15137, Peru"
"BPK-942","","Travel Stop","-11.100130 / -77.596193","Thursday, September 04 2025, 09:47:54 am","","Av, Av. Panamericana Nte. #1679, Santa María 15137, Peru"
"BPK-942","","Drive","-11.102057 / -77.596006","Thursday, September 04 2025, 09:47:06 am","31 KPH","Av. Panamericana Nte. 1626-1656, Huacho 15137, Peru"
"BPK-942","","Drive","-11.103494 / -77.595866","Thursday, September 04 2025, 09:46:36 am","10 KPH","Av. Panamericana Nte. 1589-1505, Huacho 15137, Peru"
