,Unit Type,IMEI,Serial Number
10,VidFleet AIR2,8B51429F,8B51429F
12,VidFleet AIR2,8B5141ZX,8B5141ZX
22,VidFleet AIR2,8B51429M,8B51429M
30,VidFleet AIR2,8B5141Y5,8B5141Y5
31,VidFleet AIR2,8B5141VL,8B5141VL
32,VidFleet AIR2,8B5141W0,8B5141W0
34,VidFleet AIR2,8B5141XG,8B5141XG
35,VidFleet AIR2,8B5141WD,8B5141WD
39,VidFleet AIR2,8B5141XC,8B5141XC
40,VidFleet AIR2,8B5141TY,8B5141TY
57,VidFleet AIR2,8B5141XE,8B5141XE
