,IMEI
10,8B51429F
12,8B5141ZX
22,8B51429M
30,8B5141Y5
31,8B5141VL
32,8B5141YP
33,8B5141W0
36,8B5141XG
37,8B5141WD
41,8B5141XC
42,8B5141TY
59,8B5141XE
