Message;;;;;;;;;;;;;;;;;;;;;
11000001;5;4764413160;1;1;1;10;599;1756734581;-120.464.906;-771.426.906;83;16;1010000;11110000;ON;1101000;8;8;51845;14318;0x000000000000000000000000000000000000000000000000|
11000001;5;4764413160;1;1;1;10;600;1756734585;-120.465.113;-77.142.551;129;9;11010000;11110000;ON;1101000;3;8;51860;14136;0x000000000000000000000000000000000000000000000000|
11000001;5;4764413160;1;1;1;10;601;1756734589;-12.046.577;-771.425.256;177;8;11010000;11110000;ON;1101000;3;8;51870;14257;0x000000000000000000000000000000000000000000000000|
11000001;5;4764413160;1;1;1;10;602;1756734638;-120.492.185;-771.420.323;126;16;11010000;11110000;ON;1101000;3;8;52166;14196;0x000000000000000000000000000000000000000000000000|
11000001;5;4764413160;1;1;1;10;603;1756734647;-12.049.206;-77.141.611;80;21;11010000;11110000;ON;1101000;3;8;52215;14288;0x000000000000000000000000000000000000000000000000|
11000001;5;4764413160;1;1;1;10;604;1756734763;-120.481.928;-771.370.203;79;0;1010000;11110000;ON;1101000;9;8;52717;14196;0x000000000000000000000000000000000000000000000000|
11000001;5;4764413160;1;1;1;10;605;1756734803;-12.048.193;-771.370.086;79;0;11010000;11110000;OFF;1101000;2;8;52717;13041;0x000000000000000000000000000000000000000000000000|
11000001;5;4764413160;1;1;1;10;606;1756734850;-120.481.965;-771.370.013;79;0;11010000;11110000;ON;1101000;1;8;52717;13862;0x000000000000000000000000000000000000000000000000|
11000001;5;4764413160;1;1;1;10;607;1756734889;-120.484.555;-771.370.718;252;29;1010000;11110000;ON;1101000;8;8;52819;14257;0x000000000000000000000000000000000000000000000000|
11000001;5;4764413160;1;1;1;10;608;1756734924;-120.500.025;-7.713.969;206;12;11010000;11110000;ON;1101100;3;8;53154;14196;0x000000000000000000000000000000000000000000000000|
11000001;5;4764413160;1;1;1;10;609;1756734926;-120.500.516;-771.396.841;153;8;11010000;11110000;ON;1101000;3;8;53160;14166;0x000000000000000000000000000000000000000000000000|
