,Created,Message,Status
7768,2025-06-03 19:24:27.937,"11000001,5,4764434670,1,1,1,4,7760,1748978667,1748978667,11.0017511,-74.7860926,0,25,296,4,00000000,101,-55,11110010,31,ON,1101000,00000000,0,5,36,fs:3:0x3E0206324E0CE3C44F310206393E0206324E0CEBC439310206393E0206324F0CF5C48631|",0x83054764434670010101041E50683F4BEB683F4BEB068EBBE7D36C8C420000000000000019012804000065FFC94F1F1700000500243E0206324E0CE3C44F310206393E0206324E0CEBC439310206393E0206324F0CF5C48631
7769,2025-06-03 19:24:32.299,"11000001,5,4764434670,1,1,1,4,7761,1748978672,1748978672,11.0017301,-74.786008,0,83,30,4,00000000,101,-55,11110010,31,ON,1101000,00000000,0,5,36,fs:3:0x0206393E0206324F0CFDC4F0310206393E020632500C07C572310206393E020632500C0F|",0x83054764434670010101041E51683F4BF0683F4BF0068EBB15D36C8F900000000000000053001E04000065FFC94F1F1700000500240206393E0206324F0CFDC4F0310206393E020632500C07C572310206393E020632500C0F
7770,2025-06-03 19:24:40.496,"11000001,5,4764434670,1,1,1,4,7762,1748978679,1748978679,11.0016751,-74.7858898,0,163,124,5,00000000,101,-55,11110010,23,ON,1101000,00000000,0,5,36,fs:3:0xC504310206393E020632510C18C509310206393E020632520C21C51E310206393E020632|",0x83054764434670010101041E52683F4BF7683F4BF7068EB8EFD36C942E00000000000000A3007C05000065FFC94F17170000050024C504310206393E020632510C18C509310206393E020632520C21C51E310206393E020632
7771,2025-06-03 19:24:47.934,"11000001,5,4764434670,1,1,1,4,7763,1748978687,1748978687,11.001617,-74.7857455,0,177,118,5,00000000,101,-57,11110010,23,ON,1101000,00000000,0,5,36,fs:3:0x520C29C568310206393E020632530C31C57D310206393E020632530C3AC55E310206393E|",0x83054764434670010101041E53683F4BFF683F4BFF068EB6AAD36C99D100000000000000B1007605000065FFC74F17170000050024520C29C568310206393E020632530C31C57D310206393E020632530C3AC55E310206393E
7772,2025-06-03 19:24:55.456,"11000001,5,4764434670,1,1,1,4,7764,1748978694,1748978694,11.001593,-74.7857408,0,66,130,5,00000000,101,-55,11110010,23,ON,1101000,00000000,0,5,36,fs:3:0x020632540C42C518310206393E020632540C4BC5AA310206393E020632550C53C5BF3102|",0x83054764434670010101041E54683F4C06683F4C06068EB5BAD36C9A000000000000000042008205000065FFC94F17170000050024020632540C42C518310206393E020632540C4BC5AA310206393E020632550C53C5BF3102
7773,2025-06-03 19:25:00.415,"11000001,5,4764434670,1,1,1,4,7765,1748978699,1748978699,11.0016018,-74.7857606,0,47,130,5,00000000,101,-55,11110010,23,ON,1101000,00000000,0,5,36,fs:3:0x06393E020632550C5CC5A7310206393E020632560C65C5B0310206393E020632560C6DC5|",0x83054764434670010101041E55683F4C0B683F4C0B068EB612D36C993A000000000000002F008205000065FFC94F1717000005002406393E020632550C5CC5A7310206393E020632560C65C5B0310206393E020632560C6DC5
7774,2025-06-03 19:25:07.941,"11000001,5,4764434670,1,1,1,4,7766,1748978707,1748978707,11.001613,-74.7858695,0,66,130,5,00000000,101,-57,11110010,23,ON,1101000,00000000,0,5,36,fs:3:0xC6310206393E020632570C75C5D3310206393E020632570C7FC534310206393E02063258|",0x83054764434670010101041E56683F4C13683F4C13068EB682D36C94F90000000000000042008205000065FFC74F17170000050024C6310206393E020632570C75C5D3310206393E020632570C7FC534310206393E02063258
7775,2025-06-03 19:25:15.455,"11000001,5,4764434670,1,1,1,4,7767,1748978714,1748978714,11.0016118,-74.7857315,0,97,130,4,00000000,101,-55,11110010,31,ON,1101000,00000000,0,5,36,fs:3:0x0C87C541310206393E020632590C91C588310206393E020632590C99C5FE310206393E02|",0x83054764434670010101041E57683F4C1A683F4C1A068EB676D36C9A5D0000000000000061008204000065FFC94F1F1700000500240C87C541310206393E020632590C91C588310206393E020632590C99C5FE310206393E02
7776,2025-06-03 19:25:22.979,"11000001,5,4764434670,1,1,1,4,7768,1748978722,1748978722,11.0016341,-74.7857098,0,47,130,5,00000000,101,-55,11110010,22,ON,1101000,00000000,0,5,36,fs:3:0x06325A0CA1C52D310206393E0206325A0CAAC50E310206393E0206325B0CB2C51B310206|",0x83054764434670010101041E58683F4C22683F4C22068EB755D36C9B36000000000000002F008205000065FFC94F1617000005002406325A0CA1C52D310206393E0206325A0CAAC50E310206393E0206325B0CB2C51B310206
7777,2025-06-03 19:25:27.289,"11000001,5,4764434670,1,1,1,4,7769,1748978727,1748978727,11.0016696,-74.785833,0,86,130,5,00000000,101,-55,11110010,22,ON,1101000,00000000,0,5,36,fs:3:0x393E0206325B0CBAC56D310206393E0206325C0CC3C5EF310206393E0206325C0CCCC5F7|",0x83054764434670010101041E59683F4C27683F4C27068EB8B8D36C96660000000000000056008205000065FFC94F16170000050024393E0206325B0CBAC56D310206393E0206325C0CC3C5EF310206393E0206325C0CCCC5F7
7778,2025-06-03 19:25:35.455,"11000001,5,4764434670,1,1,1,4,7770,1748978734,1748978734,11.0016711,-74.7859296,0,119,257,4,00000000,101,-55,11110010,48,ON,1101000,00000000,0,5,36,fs:3:0x310206393E0206325D0CD4C5E2310206393E0206325D0CDDC550310206393E0206325E0C|",0x83054764434670010101041E5A683F4C2E683F4C2E068EB8C7D36C92A00000000000000077010104000065FFC94F30170000050024310206393E0206325D0CD4C5E2310206393E0206325D0CDDC550310206393E0206325E0C
7779,2025-06-03 19:25:42.974,"11000001,5,4764434670,1,1,1,4,7771,1748978742,1748978742,11.0017213,-74.7858688,0,30,270,5,00000000,101,-55,11110010,23,ON,1101000,00000000,0,5,36,fs:3:0xE6C5D6310206393E0206325E0CEFC564310206393E0206325F0CF7C571310206393E0206|",0x83054764434670010101041E5B683F4C36683F4C36068EBABDD36C9500000000000000001E010E05000065FFC94F17170000050024E6C5D6310206393E0206325E0CEFC564310206393E0206325F0CF7C571310206393E0206
7780,2025-06-03 19:25:50.415,"11000001,5,4764434670,1,1,1,4,7772,1748978749,1748978749,11.0017818,-74.7858088,0,100,47,4,00000000,101,-57,11110010,22,ON,1101000,00000000,0,5,36,fs:3:0x325F0CFFC507310206393E020632600C08C6C0310206393E020632610C11C61131020639|",0x83054764434670010101041E5C683F4C3D683F4C3D068EBD1AD36C97580000000000000064002F04000065FFC74F16170000050024325F0CFFC507310206393E020632600C08C6C0310206393E020632610C11C61131020639
7781,2025-06-03 19:25:57.939,"11000001,5,4764434670,1,1,1,4,7773,1748978757,1748978757,11.0017636,-74.7857643,0,94,47,3,00001000,101,-51,11110010,64,OFF,1101000,00000000,0,5,36,fs:3:0x3E020632610C19C667310206393E020632620C21C6B4310206393E020632620C29C6C231|",0x83054764434670010101041E5D683F4C45683F4C45068EBC64D36C9915000000000000005E002F03100065FFCD4F401600000500243E020632610C19C667310206393E020632620C21C6B4310206393E020632620C29C6C231
7783,2025-06-03 19:26:02.293,"11000001,5,4764434670,1,1,1,4,7775,1748978762,1748978757,11.0017636,-74.7857643,0,94,47,3,00101000,101,-51,11110010,64,OFF,1101000,00000000,0,5,36,fs:3:0x0206393E020632630C32C682310206393E020632630C3AC6F4310206393E020632640C42|",0x83054764434670010101041E5F683F4C4A683F4C45068EBC64D36C9915000000000000005E002F03140065FFCD4F401600000500240206393E020632630C32C682310206393E020632630C3AC6F4310206393E020632640C42
7784,2025-06-03 19:26:10.414,"11000001,5,4764434670,1,1,1,4,7776,1748978769,1748978769,11.0016858,-74.7856635,0,77,47,3,00001000,101,-53,11110010,64,OFF,1101000,00000000,0,5,36,fs:3:0xC6B2310206393E020632640C4BC600310206393E020632650C53C615310206393E020632|",0x83054764434670010101041E60683F4C51683F4C51068EB95AD36C9D05000000000000004D002F03100065FFCB4F40160000050024C6B2310206393E020632640C4BC600310206393E020632650C53C615310206393E020632
7785,2025-06-03 19:26:17.937,"11000001,5,4764434670,1,1,1,4,7777,1748978777,1748978771,11.0016503,-74.7855846,0,141,88,4,00101000,101,-51,11110010,64,OFF,1101000,00000000,0,5,36,fs:3:0x650C5BC663310206393E020632660C63C6B0310206393E020632660C6BC6C6310206393E|",0x83054764434670010101041E61683F4C59683F4C53068EB7F7D36CA01A000000000000008D005804140065FFCD4F40160000050024650C5BC663310206393E020632660C63C6B0310206393E020632660C6BC6C6310206393E
7786,2025-06-03 19:26:25.438,"11000001,5,4764434670,1,1,1,4,7778,1748978784,1748978782,11.0011635,-74.7848845,0,422,96,4,00100000,101,-51,11110010,29,OFF,1101000,00000000,0,5,36,fs:3:0x020632670C74C6BD318306393E020632670C7CC6CB310206393E020632680C84C6BE3102|",0x83054764434670010101041E62683F4C60683F4C5E068EA4F3D36CBB7300000000000001A6006004040065FFCD4F1D160000050024020632670C74C6BD318306393E020632670C7CC6CB310206393E020632680C84C6BE3102
7787,2025-06-03 19:26:29.780,"11000001,5,4764434670,1,1,1,4,7779,1748978789,1748978782,11.0011635,-74.7848845,0,422,96,4,00100000,101,-51,11110010,29,OFF,1101000,00000000,0,5,36,fs:3:0x06393E020632680C8CC6C8310206393E020632690C94C6DD310206393E020632690C9CC6|",0x83054764434670010101041E63683F4C65683F4C5E068EA4F3D36CBB7300000000000001A6006004040065FFCD4F1D16000005002406393E020632680C8CC6C8310206393E020632690C94C6DD310206393E020632690C9CC6
7788,2025-06-03 19:26:37.986,"11000001,5,4764434670,1,1,1,4,7780,1748978797,1748978782,11.0011635,-74.7848845,0,422,96,4,00100000,101,-53,11110010,29,OFF,1101000,00000000,0,5,36,fs:3:0xAB310206393E0206326A0CA4C678310206393E0206326A0CACC60E310206393E0206326B|",0x83054764434670010101041E64683F4C6D683F4C5E068EA4F3D36CBB7300000000000001A6006004040065FFCB4F1D160000050024AB310206393E0206326A0CA4C678310206393E0206326A0CACC60E310206393E0206326B
