"Unit","Driver","Event","Lat / Long","Date / Time","Speed","Address"
"PM-03","","Ignition Off","-12.029424 / -77.118378","Monday, September 29 2025, 01:31:29 pm","","Vía Sin Nombre, Callao 07031, Peru"
"PM-03","","Travel Stop","-12.029424 / -77.118378","Monday, September 29 2025, 01:31:28 pm","","Vía Sin Nombre, Callao 07031, Peru"
"PM-03","","Driving","-12.029545 / -77.118530","Monday, September 29 2025, 01:31:07 pm","13 KPH","Vía Sin Nombre, Callao 07031, Peru"
"PM-03","","Driving","-12.029892 / -77.119392","Monday, September 29 2025, 01:30:40 pm","12 KPH","XV9M+MJH, Callao 07031, Peru"
"PM-03","","Driving","-12.030037 / -77.119415","Monday, September 29 2025, 01:30:36 pm","15 KPH","Vía Sin Nombre, Callao 07031, Peru"
"PM-03","","Travel Start","-12.030085 / -77.119270","Monday, September 29 2025, 01:30:32 pm","17 KPH","Vía Sin Nombre, Callao 07031, Peru"
"PM-03","","Ignition On","-12.029733 / -77.119019","Monday, September 29 2025, 01:29:48 pm","","Vía Sin Nombre, Callao 07031, Peru"
"PM-03","","Ignition Off","-12.029733 / -77.119019","Monday, September 29 2025, 01:29:46 pm","","Vía Sin Nombre, Callao 07031, Peru"
"PM-03","","Ignition On","-12.029733 / -77.119019","Monday, September 29 2025, 01:29:25 pm","","Vía Sin Nombre, Callao 07031, Peru"
"PM-03","","Ignition Off","-12.029733 / -77.119019","Monday, September 29 2025, 09:58:31 am","","Vía Sin Nombre, Callao 07031, Peru"
"PM-03","","Travel Stop","-12.029733 / -77.119019","Monday, September 29 2025, 09:58:30 am","","Vía Sin Nombre, Callao 07031, Peru"
"PM-03","","Driving","-12.029435 / -77.118492","Monday, September 29 2025, 09:57:59 am","10 KPH","XV9M+MJH, Callao 07031, Peru"
"PM-03","","Driving","-12.027813 / -77.115120","Monday, September 29 2025, 09:56:16 am","17 KPH","XV9M+MJH, Callao 07031, Peru"
"PM-03","","Driving","-12.028112 / -77.114769","Monday, September 29 2025, 09:55:58 am","20 KPH","Vía Sin Nombre, Callao 07031, Peru"
"PM-03","","Driving","-12.032316 / -77.112679","Monday, September 29 2025, 09:53:37 am","18 KPH","Av. Sta. Rosa, Callao 07031, Peru"
"PM-03","","Driving","-12.032059 / -77.111572","Monday, September 29 2025, 09:53:09 am","15 KPH","Av. Sta. Rosa, Callao 07031, Peru"
"PM-03","","Driving","-12.032496 / -77.111328","Monday, September 29 2025, 09:52:59 am","20 KPH","Av. Sta. Rosa, Callao 07031, Peru"
"PM-03","","Driving","-12.035344 / -77.109901","Monday, September 29 2025, 09:51:57 am","10 KPH","Av. Sta. Rosa, Callao 07031, Peru"
"PM-03","","Travel Start","-12.035665 / -77.110367","Monday, September 29 2025, 09:51:31 am","10 KPH","Av. Sta. Rosa, Callao 07031, Peru"
"PM-03","","Ignition On","-12.035460 / -77.110558","Monday, September 29 2025, 09:48:28 am","","Av. Sta. Rosa, Callao 07031, Peru"
"PM-03","","Ignition Off","-12.035460 / -77.110558","Monday, September 29 2025, 09:48:27 am","","Av. Sta. Rosa, Callao 07031, Peru"
"PM-03","","Ignition On","-12.035460 / -77.110558","Monday, September 29 2025, 09:48:10 am","","Av. Sta. Rosa, Callao 07031, Peru"
"PM-03","","Ignition Off","-12.035460 / -77.110558","Monday, September 29 2025, 09:47:02 am","","Av. Sta. Rosa, Callao 07031, Peru"
"PM-03","","Ignition On","-12.035460 / -77.110558","Monday, September 29 2025, 09:46:58 am","","Av. Sta. Rosa, Callao 07031, Peru"
"PM-03","","Ignition Off","-12.035460 / -77.110558","Monday, September 29 2025, 07:27:25 am","","Av. Sta. Rosa, Callao 07031, Peru"
"PM-03","","Driving","-12.035628 / -77.110466","Monday, September 29 2025, 07:26:51 am","12 KPH","Av. Sta. Rosa, Callao 07031, Peru"
"PM-03","","Driving","-12.035451 / -77.109924","Monday, September 29 2025, 07:26:32 am","10 KPH","Av. Sta. Rosa, Callao 07031, Peru"
"PM-03","","Driving","-12.035759 / -77.109688","Monday, September 29 2025, 07:26:19 am","20 KPH","Av. Sta. Rosa, Callao 07031, Peru"
"PM-03","","Driving","-12.038610 / -77.108299","Monday, September 29 2025, 07:25:20 am","23 KPH","Nuevo Ingreso Aeropuerto, Callao 07031, Peru"
"PM-03","","Driving","-12.040592 / -77.106026","Monday, September 29 2025, 07:24:13 am","20 KPH","Nuevo Ingreso Aeropuerto, Callao 07026, Peru"
"PM-03","","Driving","-12.040322 / -77.103729","Monday, September 29 2025, 07:23:30 am","23 KPH","PE-20B, Callao 07026, Peru"
"PM-03","","Driving","-12.039994 / -77.103455","Monday, September 29 2025, 07:23:20 am","21 KPH","Brisas, Callao 07031, Peru"
"PM-03","","Driving","-12.037193 / -77.104202","Monday, September 29 2025, 07:22:20 am","20 KPH","Brisas, Callao 07031, Peru"
"PM-03","","Driving","-12.034541 / -77.105476","Monday, September 29 2025, 07:21:19 am","21 KPH","Ruta Sin Nombre, Callao 07031, Peru"
"PM-03","","Driving","-12.031984 / -77.106758","Monday, September 29 2025, 07:20:20 am","15 KPH","Ruta Sin Nombre, Callao 07031, Peru"
"PM-03","","Driving","-12.029913 / -77.107620","Monday, September 29 2025, 07:19:17 am","20 KPH","Ruta Sin Nombre, Callao 07031, Peru"
"PM-03","","Driving","-12.029826 / -77.107635","Monday, September 29 2025, 07:19:15 am","17 KPH","Ruta Sin Nombre, Callao 07031, Peru"
"PM-03","","Driving","-12.029284 / -77.106461","Monday, September 29 2025, 07:18:43 am","18 KPH","Ruta Sin Nombre, Callao 07031, Peru"
"PM-03","","Driving","-12.029204 / -77.106339","Monday, September 29 2025, 07:18:39 am","12 KPH","Ruta Sin Nombre, Callao 07031, Peru"
"PM-03","","Driving","-12.028913 / -77.106430","Monday, September 29 2025, 07:18:27 am","12 KPH","Ruta Sin Nombre, Callao 07031, Peru"
"PM-03","","Driving","-12.028204 / -77.105614","Monday, September 29 2025, 07:17:45 am","13 KPH","Ruta Sin Nombre, Callao 07031, Peru"
"PM-03","","Driving","-12.027048 / -77.106071","Monday, September 29 2025, 07:17:12 am","20 KPH","Ruta Sin Nombre, Callao 07031, Peru"
