Speed (kph),count
6,178907
10,168763
13,162394
14,151969
5,135373
18,130664
29,114653
21,111192
23,104104
31,100746
26,92536
8,88895
34,85398
11,83535
35,76722
16,71186
39,66933
19,59781
42,56972
3,54015
43,51832
24,49498
27,49328
32,46513
47,44156
2,40891
50,37658
37,36038
52,34958
40,31918
55,31270
58,28193
60,26310
63,24036
45,23846
66,21211
48,20563
68,19934
71,17777
53,16496
56,15472
72,14942
61,12729
64,11544
69,9471
76,9089
74,5906
79,4936
77,3422
80,3168
84,1881
82,1189
87,1132
85,716
89,709
92,433
90,266
95,215
93,150
97,123
4,88
59,67
46,60
9,58
57,58
44,57
100,57
98,56
36,52
51,52
41,51
103,50
38,46
109,45
54,44
28,40
7,40
33,39
75,35
30,35
25,33
49,33
65,32
73,31
62,30
22,28
20,27
70,26
67,26
106,22
15,22
17,22
105,21
78,20
119,19
12,19
116,16
151,15
153,14
171,12
192,12
101,11
132,10
150,10
113,9
121,7
158,7
169,6
166,6
155,6
167,5
117,5
137,5
140,5
161,4
127,4
129,4
159,4
134,3
114,3
108,3
179,3
143,2
190,2
183,2
122,2
83,2
145,2
174,2
206,2
86,2
81,2
272,2
156,1
195,1
142,1
264,1
163,1
211,1
187,1
180,1
177,1
285,1
238,1
288,1
248,1
224,1
293,1
200,1
295,1
212,1
222,1
172,1
146,1
135,1
126,1
111,1
237,1
