"Unit","Time/Date (COT)","Address","Distance (km)","Total Distance (km)","Odometer","Driver"
"PRZ050","12/05/2025 7:07 AM","60, Marinilla, Antioquia, 054028","0.10","0.10","24876.97",
"PRZ050","12/06/2025 12:17 PM","60, Marinilla, Antioquia, 054028","0.00","0.11","24876.97",
"PRZ050","12/06/2025 12:30 PM","60, Marinilla, Antioquia, 054028","0.02","0.13","24876.98",
"PRZ050","12/06/2025 12:30 PM","60, Marinilla, Antioquia, 054028","1.02","1.15","24878.01",
"PRZ050","12/08/2025 7:00 AM","60, Marinilla, Antioquia, 054028","2.08","3.22","24880.09",
"PRZ050","12/08/2025 7:01 AM","Cra. 25, Marinilla, Antioquia, 054020","0.61","3.83","24880.69",
"PRZ050","12/08/2025 7:02 AM","60, Marinilla, Antioquia, 054020","0.94","4.77","24881.64",
"PRZ050","12/08/2025 7:04 AM","60, Marinilla, Antioquia, 054027","0.25","5.02","24881.88",
"PRZ050","12/08/2025 7:08 AM","60, Marinilla, Antioquia, 054027","0.08","5.10","24881.96",
"PRZ050","12/08/2025 7:08 AM","60, Marinilla, Antioquia, 054027","1.50","6.60","24883.45",
"PRZ050","12/08/2025 7:10 AM","60, Rionegro, Antioquia, 054047","0.14","6.74","24883.60",
"PRZ050","12/08/2025 7:11 AM","60, Rionegro, Antioquia, 054047","0.08","6.81","24883.68",
"PRZ050","12/08/2025 7:12 AM","Autopista Medellin Bogota Km 33 +120, Rionegro, Antioquia, 054047","3.33","10.15","24887.01",
"PRZ050","12/08/2025 7:13 AM","60, Guarne, Antioquia, 054057","2.41","12.55","24889.41",
"PRZ050","12/08/2025 7:14 AM","60, Guarne, Antioquia, 054057","1.17","13.72","24890.58",
"PRZ050","12/08/2025 7:15 AM","60, Guarne, Antioquia, 054057","1.11","14.83","24891.69",
"PRZ050","12/08/2025 7:16 AM","60, Guarne, Antioquia, 054057","1.04","15.87","24892.72",
"PRZ050","12/08/2025 7:17 AM","60, Guarne, Antioquia, 054057","1.66","17.53","24894.38",
"PRZ050","12/08/2025 11:43 AM","60, Guarne, Antioquia, 054058","0.51","18.04","24894.90",
"PRZ050","12/08/2025 11:43 AM","60, Guarne, Antioquia, 054058","0.85","18.89","24895.75",
"PRZ050","12/08/2025 12:18 PM","46a143-46a1 60, Guarne, Antioquia, 054058","1.18","20.07","24896.92",
"PRZ050","12/08/2025 12:22 PM","60, Guarne, Antioquia, 054057","0.85","20.92","24897.78",
"PRZ050","12/08/2025 12:25 PM","60, Copacabana, Antioquia, 051048","0.51","21.43","24898.29",
"PRZ050","12/08/2025 12:26 PM","60, Copacabana, Antioquia, 051048","8.50","29.93","24906.79",
"PRZ050","12/08/2025 12:27 PM","60, Copacabana, Antioquia, 051048","0.37","30.30","24899.60",
"PRZ050","12/08/2025 12:28 PM","60, Copacabana, Antioquia, 051048","0.41","30.71","24900.00",
"PRZ050","12/08/2025 12:29 PM","60, Copacabana, Antioquia, 051048","3.09","33.79","24903.09",
"PRZ050","12/08/2025 12:29 PM","60, Copacabana, Antioquia, 051048","0.09","33.88","24903.17",
"PRZ050","12/08/2025 12:29 PM","60, Copacabana, Antioquia, 051048","5.75","39.64","24908.93",
"PRZ050","12/08/2025 12:30 PM","60, Copacabana, Antioquia, 051048","5.71","45.35","24914.64",
"PRZ050","12/08/2025 12:31 PM","60, Copacabana, Antioquia, 051048","7.80","53.16","24922.45",
"PRZ050","12/08/2025 12:31 PM","8 60, Copacabana, Antioquia, 051048","0.48","53.63","24922.92",
"PRZ050","12/08/2025 12:33 PM","60, Copacabana, Antioquia, 051048","3.27","56.91","24926.20",
"PRZ050","12/08/2025 12:33 PM","Vía Sin Nombre, Copacabana, Antioquia, 051048","0.25","57.15","24926.44",
