Speed (kph),count
6,1224
5,1108
29,956
31,950
10,920
34,847
35,845
13,833
14,784
39,725
42,676
18,662
43,647
21,621
47,612
26,606
23,589
8,547
50,535
52,513
55,477
3,459
32,432
11,426
58,378
16,376
37,368
63,360
27,359
60,354
24,330
40,326
19,326
66,302
45,300
2,283
71,275
48,273
68,256
53,225
56,212
72,183
61,172
64,124
69,118
76,115
74,69
80,62
79,58
77,34
82,22
84,18
85,8
87,3
