Speed (kph),count
6,470
34,465
35,446
10,426
5,421
31,413
29,413
39,412
13,387
14,345
42,308
43,308
18,297
23,278
47,268
26,265
21,258
50,234
32,223
8,223
11,207
52,205
37,202
40,197
3,196
16,169
55,165
45,143
24,143
27,135
19,134
60,113
58,110
48,108
63,104
53,100
2,98
68,91
72,86
71,84
66,84
56,75
61,73
76,63
79,48
69,38
74,33
64,32
80,27
77,17
84,14
82,10
85,4
87,3
