,Created,Message,Status
11187,2025-11-01 10:40:43.077,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064392409"",""SerialNo"":50950,""Mileage"":15558248,""Date"":""2025-11-01T10:41:11Z"",""IopIgnition"":true,""Latitude"":4.8459315299987793,""Longitude"":-74.266845703125,""Altitude"":2621.60009765625,""ExternalPowerVoltage"":27.88,""Rpm"":-999,""Speed"":66.0,""SatelliteNumber"":15,""Azimuth"":304,""BatteryLevel"":91}]",0x2525130059C7060869487064392409003C0E102D000000604F00000007000061000000FFFFFFFFFFFFFFFFFFFF00D500ED6668912511011041119AD92345A08894C2DF119B400660013003872788FFFFFF0000220000FFFFFF
11188,2025-11-01 10:41:43.017,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064392409"",""SerialNo"":50951,""Mileage"":15559321,""Date"":""2025-11-01T10:42:11Z"",""IopIgnition"":true,""Latitude"":4.8514895439147949,""Longitude"":-74.274749755859375,""Altitude"":2648.300048828125,""ExternalPowerVoltage"":27.88,""Rpm"":-999,""Speed"":63.0,""SatelliteNumber"":16,""Azimuth"":305,""BatteryLevel"":91}]",0x2525130059C7070869487064392409003C0E102D000000445000000007000061000000FFFFFFFFFFFFFFFFFFFF00D500ED6A9991251101104211CD842545AC8C94C2673F9B400630013103872788FFFFFF0000230000FFFFFF
11189,2025-11-01 10:42:30.234,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064392409"",""SerialNo"":50952,""Mileage"":15560207,""Date"":""2025-11-01T10:42:58Z"",""IopIgnition"":true,""Latitude"":4.8551559448242188,""Longitude"":-74.281539916992188,""Altitude"":2678.89990234375,""ExternalPowerVoltage"":27.86,""Rpm"":-999,""Speed"":68.0,""SatelliteNumber"":16,""Azimuth"":258,""BatteryLevel"":91}]",0x2525130059C7080869487064392409003C0E102D000000485000000007000061000000FFFFFFFFFFFFFFFFFFFF00D500ED6E0F91251101104258666E2745269094C2705D9B400680010203872786FFFFFF0000230000FFFFFF
11190,2025-11-01 10:42:53.363,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064392409"",""SerialNo"":50953,""Mileage"":15560508,""Date"":""2025-11-01T10:43:15Z"",""IopIgnition"":true,""Latitude"":4.8550186157226563,""Longitude"":-74.284164428710938,""Altitude"":2696.199951171875,""ExternalPowerVoltage"":27.86,""Rpm"":-999,""Speed"":62.0,""SatelliteNumber"":14,""Azimuth"":308,""BatteryLevel"":91}]",0x2525130059C7090869487064392409003C0E102D000000594E00000007000061000000FFFFFFFFFFFFFFFFFFFF00D500ED6F3C91251101104315338328457E9194C2505C9B400620013403872786FFFFFF0000230000FFFFFF
11191,2025-11-01 10:43:15.780,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064392409"",""SerialNo"":50954,""Mileage"":15561014,""Date"":""2025-11-01T10:43:42Z"",""IopIgnition"":true,""Latitude"":4.8579931259155273,""Longitude"":-74.287277221679688,""Altitude"":2726.300048828125,""ExternalPowerVoltage"":27.82,""Rpm"":-999,""Speed"":68.0,""SatelliteNumber"":15,""Azimuth"":259,""BatteryLevel"":90}]",0x2525130059C70A0869487064392409003C0E102D000000004F00000007000061000000FFFFFFFFFFFFFFFFFFFF00D500ED713690251101104342CD642A45169394C2AE749B400680010303872782FFFFFF0000250000FFFFFF
11192,2025-11-01 10:43:30.278,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064392409"",""SerialNo"":50955,""Mileage"":15561316,""Date"":""2025-11-01T10:43:58Z"",""IopIgnition"":true,""Latitude"":4.8578920364379883,""Longitude"":-74.289909362792969,""Altitude"":2745.60009765625,""ExternalPowerVoltage"":27.81,""Rpm"":-999,""Speed"":64.0,""SatelliteNumber"":16,""Azimuth"":308,""BatteryLevel"":90}]",0x2525130059C70B0869487064392409003C0E102D000000005000000007000061000000FFFFFFFFFFFFFFFFFFFF00D500ED7264902511011043589A992B456F9494C2DA739B400640013403872781FFFFFF0000270000FFFFFF
11193,2025-11-01 10:43:50.217,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064392409"",""SerialNo"":50955,""Mileage"":15561316,""Date"":""2025-11-01T10:43:58Z"",""IopIgnition"":true,""Latitude"":4.8578920364379883,""Longitude"":-74.289909362792969,""Altitude"":2745.60009765625,""ExternalPowerVoltage"":27.81,""Rpm"":-999,""Speed"":64.0,""SatelliteNumber"":16,""Azimuth"":308,""BatteryLevel"":90}]",0x2525130059C70B0869487064392409003C0E102D000000005000000007000061000000FFFFFFFFFFFFFFFFFFFF00D500ED7264902511011043589A992B456F9494C2DA739B400640013403872781FFFFFF0000270000FFFFFF
11194,2025-11-01 10:43:50.339,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064392409"",""SerialNo"":50956,""Mileage"":15561424,""Date"":""2025-11-01T10:44:04Z"",""IopIgnition"":true,""Latitude"":4.8587131500244141,""Longitude"":-74.290374755859375,""Altitude"":2754.199951171875,""ExternalPowerVoltage"":27.8,""Rpm"":-999,""Speed"":64.0,""SatelliteNumber"":15,""Azimuth"":354,""BatteryLevel"":90}]",0x2525130059C70C0869487064392409003C0E102D0000004BCF00000007000061000000FFFFFFFFFFFFFFFFFFFF00D500ED72D09025110110440433232C45AC9494C2947A9B400640016203872780FFFFFF0000270000FFFFFF
11195,2025-11-01 10:44:45.364,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064392409"",""SerialNo"":50957,""Mileage"":15562661,""Date"":""2025-11-01T10:45:11Z"",""IopIgnition"":true,""Latitude"":4.8697447776794434,""Longitude"":-74.289764404296875,""Altitude"":2836.60009765625,""ExternalPowerVoltage"":27.78,""Rpm"":-999,""Speed"":49.0,""SatelliteNumber"":17,""Azimuth"":6,""BatteryLevel"":91}]",0x2525130059C70D0869487064392409003C0E102D0000003A5100000007000061000000FFFFFFFFFFFFFFFFFFFF00D500ED77A5912511011045119A4931455C9494C2F3D49B400490000603872778FFFFFF0000240000FFFFFF
11196,2025-11-01 10:44:58.560,"[{""Protocol"":""0x2525"",""MessageType"":""LocationInfoMessage"",""ProtocolHeadType"":19,""Imei"":""869487064392409"",""SerialNo"":50958,""Mileage"":15562830,""Date"":""2025-11-01T10:45:22Z"",""IopIgnition"":true,""Latitude"":4.8711614608764648,""Longitude"":-74.290107727050781,""Altitude"":2849.89990234375,""ExternalPowerVoltage"":27.78,""Rpm"":-999,""Speed"":61.0,""SatelliteNumber"":16,""Azimuth"":315,""BatteryLevel"":90}]",0x2525130059C70E0869487064392409003C0E102D0000003A5000000007000061000000FFFFFFFFFFFFFFFFFFFF00D500ED784E90251101104522661E3245899494C28EE09B400610013B03872778FFFFFF0000260000FFFFFF
