GroupName,UnitName,StartTime,Textbox8,StopTime,StopLengthSecs,ContactName,textbox32,StopLengthSecs_1
,Unit: HITACHI 4848,4/08/2025 4:14:54 p.m.,"4C3G+V5 Icononzo, Tolima, Colombia Icononzo Tolima 734027",4/08/2025 4:17:56 p.m.,00h:03m:02s,"4C3G+V5 Icononzo, Tolima, Colombia Icononzo Tolima 734027",34h:47m:27s,34h:47m:27s
,Unit: HITACHI 4848,6/08/2025 8:56:27 a.m.,"4C3G+Q7 Icononzo, Tolima, Colombia Icononzo Tolima 734027",6/08/2025 8:56:29 a.m.,00h:00m:02s,"4C3G+Q7 Icononzo, Tolima, Colombia Icononzo Tolima 734027",34h:47m:27s,34h:47m:27s
,Unit: HITACHI 4848,6/08/2025 8:56:31 a.m.,"4C3G+Q7 Icononzo, Tolima, Colombia Icononzo Tolima 734027",6/08/2025 9:01:11 a.m.,00h:04m:40s,"4C3G+W9 Icononzo, Tolima, Colombia Icononzo Tolima 734027",34h:47m:27s,34h:47m:27s
,Unit: HITACHI 4848,6/08/2025 9:05:10 a.m.,"4C3G+W4 Icononzo, Tolima, Colombia Icononzo Tolima 734027",6/08/2025 9:14:36 a.m.,00h:09m:26s,"4C3G+X5 Icononzo, Tolima, Colombia Icononzo Tolima 734027",34h:47m:27s,34h:47m:27s
,Unit: HITACHI 4848,6/08/2025 9:31:24 a.m.,"4C4G+84 Icononzo, Tolima, Colombia Icononzo Tolima 734027",6/08/2025 3:34:01 p.m.,06h:02m:37s,"4C4G+73 Icononzo, Tolima, Colombia Icononzo Tolima 734027",34h:47m:27s,34h:47m:27s
,Unit: HITACHI 4848,8/08/2025 8:35:22 a.m.,"4C4G+73 Icononzo, Tolima, Colombia Icononzo Tolima 734027",8/08/2025 8:56:45 a.m.,00h:21m:23s,"4C3G+V7 Icononzo, Tolima, Colombia Icononzo Tolima 734027",34h:47m:27s,34h:47m:27s
,Unit: HITACHI 4848,8/08/2025 9:11:57 a.m.,"4C3G+V7 Icononzo, Tolima, Colombia Icononzo Tolima 734027",8/08/2025 1:47:23 p.m.,04h:35m:26s,"4C3G+MP Icononzo, Tolima, Colombia Icononzo Tolima 734027",34h:47m:27s,34h:47m:27s
,Unit: HITACHI 4848,8/08/2025 2:04:15 p.m.,"4C3G+MP Icononzo, Tolima, Colombia Icononzo Tolima 734027",8/08/2025 2:11:21 p.m.,00h:07m:06s,"4C3G+MP Icononzo, Tolima, Colombia Icononzo Tolima 734027",34h:47m:27s,34h:47m:27s
,Unit: HITACHI 4848,8/08/2025 2:14:02 p.m.,"4C3G+MP Icononzo, Tolima, Colombia Icononzo Tolima 734027",8/08/2025 2:14:20 p.m.,00h:00m:18s,"4C3G+PM Icononzo, Tolima, Colombia Icononzo Tolima 734027",34h:47m:27s,34h:47m:27s
,Unit: HITACHI 4848,8/08/2025 2:25:42 p.m.,"4C3G+PM Icononzo, Tolima, Colombia Icononzo Tolima 734027",8/08/2025 5:20:14 p.m.,02h:54m:32s,"4C3G+V8 Icononzo, Tolima, Colombia Icononzo Tolima 734027",34h:47m:27s,34h:47m:27s
,Unit: HITACHI 4848,9/08/2025 2:17:24 p.m.,"4C3G+QQ Icononzo, Tolima, Colombia Icononzo Tolima 734027",9/08/2025 2:23:28 p.m.,00h:06m:04s,"4C3G+QQ Icononzo, Tolima, Colombia Icononzo Tolima 734027",34h:47m:27s,34h:47m:27s
,Unit: HITACHI 4848,9/08/2025 2:33:22 p.m.,"4C3G+QQ Icononzo, Tolima, Colombia Icononzo Tolima 734027",9/08/2025 2:42:29 p.m.,00h:09m:07s,"4C3G+MR Icononzo, Tolima, Colombia Icononzo Tolima 734027",34h:47m:27s,34h:47m:27s
,Unit: HITACHI 4848,9/08/2025 3:39:02 p.m.,"4C3G+MR Icononzo, Tolima, Colombia Icononzo Tolima 734027",9/08/2025 5:51:03 p.m.,02h:12m:01s,"4C3H+82 Icononzo, Tolima, Colombia Icononzo Tolima 734027",34h:47m:27s,34h:47m:27s
,Unit: HITACHI 4848,10/08/2025 11:31:46 a.m.,"4C3H+82 Icononzo, Tolima, Colombia Icononzo Tolima 734027",10/08/2025 11:50:27 a.m.,00h:18m:41s,"4C2H+RJ Icononzo, Tolima, Colombia Icononzo Tolima 734027",34h:47m:27s,34h:47m:27s

