GroupName,UnitName,StartTime,Textbox8,StopTime,StopLengthSecs,ContactName,textbox32,StopLengthSecs_1
,Unit: HBZN580NKLAH21750,4/06/2025 9:15:06 a.m.,"Carrera 22 sur #152, Ibagué, Tolima, Colombia Ibagué Tolima 730005",4/06/2025 9:17:30 a.m.,00h:02m:24s,"Carrera 22 sur #152, Ibagué, Tolima, Colombia Ibagué Tolima 730005",92h:57m:39s,92h:57m:39s
,Unit: HBZN580NKLAH21750,4/06/2025 9:58:47 a.m.,"CAMPAMENTO VAINILLO
152 Vía Sin Nombre Carrera 22 sur  Ibagué Tolima 730005",4/06/2025 10:04:14 a.m.,00h:05m:27s,"Carrera 22 sur #152, Ibagué, Tolima, Colombia Ibagué Tolima 730005",92h:57m:39s,92h:57m:39s
,Unit: HBZN580NKLAH21750,6/06/2025 3:07:17 p.m.,"CAMPAMENTO VAINILLO
152 Vía Sin Nombre Carrera 22 sur  Ibagué Tolima 730005",6/06/2025 3:08:18 p.m.,00h:01m:01s,"CAMPAMENTO VAINILLO
152 Vía Sin Nombre Carrera 22 sur  Ibagué Tolima 730005",92h:57m:39s,92h:57m:39s
,Unit: HBZN580NKLAH21750,6/06/2025 3:31:25 p.m.,"Carrera 22 sur #152, Ibagué, Tolima, Colombia Ibagué Tolima 730005",6/06/2025 3:31:25 p.m.,00h:00m:00s,"Carrera 22 sur #152, Ibagué, Tolima, Colombia Ibagué Tolima 730005",92h:57m:39s,92h:57m:39s
,Unit: HBZN580NKLAH21750,7/06/2025 6:52:07 a.m.,"Av 40, Ibague, Tolima, Colombia  Tolima 730005",7/06/2025 6:52:48 a.m.,00h:00m:41s,152 Vía Sin Nombre Carrera 22 sur  Ibagué Tolima 730005,92h:57m:39s,92h:57m:39s
,Unit: HBZN580NKLAH21750,7/06/2025 7:03:53 a.m.,"Carrera 22 sur #152, Ibagué, Tolima, Colombia Ibagué Tolima 730005",7/06/2025 8:33:28 a.m.,01h:29m:35s,152 Vía Sin Nombre Carrera 22 sur  Ibagué Tolima 730005,92h:57m:39s,92h:57m:39s
,Unit: HBZN580NKLAH21750,7/06/2025 8:41:33 a.m.,"CAMPAMENTO VAINILLO
152 Vía Sin Nombre Carrera 22 sur  Ibagué Tolima 730005",7/06/2025 8:41:59 a.m.,00h:00m:26s,"CAMPAMENTO VAINILLO
152 Vía Sin Nombre Carrera 22 sur  Ibagué Tolima 730005",92h:57m:39s,92h:57m:39s
,Unit: HBZN580NKLAH21750,7/06/2025 9:49:21 a.m.,"CAMPAMENTO VAINILLO
152 Vía Sin Nombre Carrera 22 sur  Ibagué Tolima 730005",7/06/2025 9:50:18 a.m.,00h:00m:57s,"CAMPAMENTO VAINILLO
152 Vía Sin Nombre Carrera 22 sur  Ibagué Tolima 730005",92h:57m:39s,92h:57m:39s
,Unit: HBZN580NKLAH21750,7/06/2025 9:53:56 a.m.,"CAMPAMENTO VAINILLO
152 Vía Sin Nombre Carrera 22 sur  Ibagué Tolima 730005",7/06/2025 10:27:05 a.m.,00h:33m:09s,"CAMPAMENTO VAINILLO
152 Vía Sin Nombre Carrera 22 sur  Ibagué Tolima 730005",92h:57m:39s,92h:57m:39s
,Unit: HBZN580NKLAH21750,9/06/2025 7:06:37 a.m.,"CAMPAMENTO VAINILLO
152 Vía Sin Nombre Carrera 22 sur  Ibagué Tolima 730005",9/06/2025 7:30:09 a.m.,00h:23m:32s,"Cl. 148 #21-123 sur, Ibagué, Tolima, Colombia Ibagué Tolima 730005",92h:57m:39s,92h:57m:39s
,Unit: HBZN580NKLAH21750,9/06/2025 7:33:11 a.m.,"9VV3+GJ Ibague, Tolima, Colombia Ibague Tolima 730005",9/06/2025 8:52:16 a.m.,01h:19m:05s,"9VV3+GM Ibague, Tolima, Colombia Ibague Tolima 730005",92h:57m:39s,92h:57m:39s
,Unit: HBZN580NKLAH21750,9/06/2025 9:00:06 a.m.,"9VV3+GM Ibague, Tolima, Colombia Ibague Tolima 730005",9/06/2025 11:02:14 a.m.,02h:02m:08s,"9VV3+GM Ibague, Tolima, Colombia Ibague Tolima 730005",92h:57m:39s,92h:57m:39s
,Unit: HBZN580NKLAH21750,9/06/2025 11:36:29 a.m.,"9VV3+GM Ibague, Tolima, Colombia Ibague Tolima 730005",9/06/2025 12:11:20 p.m.,00h:34m:51s,"Cl. 148 #21-123 sur, Ibagué, Tolima, Colombia Ibagué Tolima 730005",92h:57m:39s,92h:57m:39s
