UnitName,DayDate,Decelerations,Accelerations,HarshTurns,DistanceDriven1,DriveTime,OffTime,IdleTime,Textbox17,MaxSpeed,DriverName,GroupName
HBZN580NKLAH21750,1/08/2025,0,0,0,"1,40",0:36:57,18:39:36,4:43:27,5:20:24,19 kph,,
HBZN580NKLAH21750,2/08/2025,0,0,0,"0,00",0:00:00,23:37:20,0:22:40,0:22:40,0 kph,,
HBZN580NKLAH21750,3/08/2025,0,0,0,"0,00",0:00:00,24:00:00,0:00:00,0:00:00,0 kph,,
HBZN580NKLAH21750,4/08/2025,0,0,0,"0,00",0:00:00,18:36:21,5:23:39,5:23:39,0 kph,,
HBZN580NKLAH21750,5/08/2025,0,0,0,"0,48",0:26:30,18:10:20,5:23:10,5:49:40,11 kph,,
HBZN580NKLAH21750,6/08/2025,0,0,0,"0,00",0:00:00,17:29:20,6:30:40,6:30:40,0 kph,,
HBZN580NKLAH21750,7/08/2025,0,0,0,"0,00",0:00:00,24:00:00,0:00:00,0:00:00,0 kph,,
HBZN580NKLAH21750,8/08/2025,0,0,0,"0,53",0:23:57,17:03:12,6:32:51,6:56:48,16 kph,,
HBZN580NKLAH21750,9/08/2025,0,0,0,"0,19",1:19:24,19:52:07,2:48:29,4:07:53,32 kph,,
HBZN580NKLAH21750,10/08/2025,0,0,0,"0,00",0:00:00,24:00:00,0:00:00,0:00:00,0 kph,,
HBZN580NKLAH21750,11/08/2025,0,0,0,"0,00",0:00:00,22:25:19,1:34:41,1:34:41,0 kph,,

