GroupName,UnitName,StartTime,Textbox8,StopTime,StopLengthSecs,ContactName,textbox32,StopLengthSecs_1
,Unit: HITACHI 4848,20/06/2025 2:18:55 p.m.,"3CRP+HW Icononzo, Tolima, Colombia Icononzo Tolima 734027",20/06/2025 5:50:44 p.m.,03h:31m:49s,"3CQR+34 Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,21/06/2025 11:34:26 a.m.,"3CQR+34 Icononzo, Tolima, Colombia Icononzo Tolima 734027",21/06/2025 3:01:20 p.m.,03h:26m:54s,"3CQQ+7X Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,21/06/2025 3:22:01 p.m.,"3CQQ+7X Icononzo, Tolima, Colombia Icononzo Tolima 734027",21/06/2025 4:54:40 p.m.,01h:32m:39s,"3CQR+34 Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,21/06/2025 4:58:35 p.m.,"3CQR+34 Icononzo, Tolima, Colombia Icononzo Tolima 734027",21/06/2025 5:01:46 p.m.,00h:03m:11s,"3CQR+53 Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,23/06/2025 10:50:16 a.m.,"3CQR+53 Icononzo, Tolima, Colombia Icononzo Tolima 734027",23/06/2025 1:04:26 p.m.,02h:14m:10s,"3CPR+Q5 Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,23/06/2025 2:03:00 p.m.,"3CPR+Q5 Icononzo, Tolima, Colombia Icononzo Tolima 734027",25/06/2025 1:08:57 p.m.,47h:05m:57s,"3CRP+37 Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,25/06/2025 1:22:12 p.m.,"3CRP+37 Icononzo, Tolima, Colombia Icononzo Tolima 734027",25/06/2025 1:27:22 p.m.,00h:05m:10s,"3CQM+QJ Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,25/06/2025 2:28:32 p.m.,"3CWP+X3 Icononzo, Tolima, Colombia Icononzo Tolima 734027",25/06/2025 2:30:32 p.m.,00h:02m:00s,"3CWP+X4 Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,25/06/2025 2:36:13 p.m.,"3CWP+X4 Icononzo, Tolima, Colombia Icononzo Tolima 734027",25/06/2025 6:41:44 p.m.,04h:05m:31s,"3CWP+X4 Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,26/06/2025 10:54:13 a.m.,"3CWP+X4 Icononzo, Tolima, Colombia Icononzo Tolima 734027",26/06/2025 11:02:26 a.m.,00h:08m:13s,"3CWP+X5 Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,26/06/2025 11:15:32 a.m.,"3CWP+X5 Icononzo, Tolima, Colombia Icononzo Tolima 734027",26/06/2025 3:28:15 p.m.,04h:12m:43s,"3CXP+25 Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,26/06/2025 3:38:34 p.m.,"3CXP+25 Icononzo, Tolima, Colombia Icononzo Tolima 734027",26/06/2025 5:59:16 p.m.,02h:20m:42s,"3CXP+25 Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,27/06/2025 9:55:55 a.m.,"5FX3+VX Icononzo, Tolima, Colombia Icononzo Tolima 734027",27/06/2025 11:03:32 a.m.,01h:07m:37s,"6F23+2V Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,27/06/2025 11:08:51 a.m.,"5FX4+Q2 Icononzo, Tolima, Colombia Icononzo Tolima 734027",27/06/2025 1:25:15 p.m.,02h:16m:24s,"5FX5+F6 Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,27/06/2025 1:33:18 p.m.,"5FX5+F6 Icononzo, Tolima, Colombia Icononzo Tolima 734027",27/06/2025 4:48:58 p.m.,03h:15m:40s,"5FX7+47 Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,28/06/2025 11:37:18 a.m.,"5FX7+47 Icononzo, Tolima, Colombia Icononzo Tolima 734027",28/06/2025 1:29:36 p.m.,01h:52m:18s,"5FX6+9M Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,28/06/2025 1:49:28 p.m.,"5FX6+9M Icononzo, Tolima, Colombia Icononzo Tolima 734027",28/06/2025 3:45:43 p.m.,01h:56m:15s,"5FX8+7C Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,1/07/2025 11:35:11 a.m.,"5FX8+7C Icononzo, Tolima, Colombia Icononzo Tolima 734027",1/07/2025 11:44:02 a.m.,00h:08m:51s,"5FX8+7C Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,1/07/2025 11:48:58 a.m.,"5FX8+7C Icononzo, Tolima, Colombia Icononzo Tolima 734027",1/07/2025 11:49:05 a.m.,00h:00m:07s,"5FX8+7C Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,1/07/2025 11:49:07 a.m.,"5FX8+7C Icononzo, Tolima, Colombia Icononzo Tolima 734027",1/07/2025 11:54:58 a.m.,00h:05m:51s,"5FX8+7H Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,1/07/2025 12:09:36 p.m.,"5FX8+7H Icononzo, Tolima, Colombia Icononzo Tolima 734027",1/07/2025 12:10:40 p.m.,00h:01m:04s,"5FX8+8X Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,1/07/2025 12:22:55 p.m.,"5FX8+8X Icononzo, Tolima, Colombia Icononzo Tolima 734027",1/07/2025 12:32:25 p.m.,00h:09m:30s,"5FX8+8X Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,1/07/2025 12:33:50 p.m.,"5FX8+8X Icononzo, Tolima, Colombia Icononzo Tolima 734027",1/07/2025 12:34:27 p.m.,00h:00m:37s,"5FX8+8X Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,1/07/2025 2:02:44 p.m.,"5FX8+8X Icononzo, Tolima, Colombia Icononzo Tolima 734027",1/07/2025 2:03:19 p.m.,00h:00m:35s,"5FX8+8X Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,1/07/2025 2:10:23 p.m.,"5FX8+8X Icononzo, Tolima, Colombia Icononzo Tolima 734027",1/07/2025 2:19:24 p.m.,00h:09m:01s,"5FX8+8X Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,2/07/2025 8:08:40 a.m.,"6F2H+7H Icononzo, Tolima, Colombia Icononzo Tolima 734027",2/07/2025 8:17:32 a.m.,00h:08m:52s,"6F2H+9G Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,2/07/2025 8:23:08 a.m.,"6F2H+9G Icononzo, Tolima, Colombia Icononzo Tolima 734027",2/07/2025 12:31:41 p.m.,04h:08m:33s,"5FXH+MM Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,2/07/2025 1:00:29 p.m.,"5FXH+MM Icononzo, Tolima, Colombia Icononzo Tolima 734027",2/07/2025 1:08:01 p.m.,00h:07m:32s,"5FXH+RM Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s
,Unit: HITACHI 4848,2/07/2025 1:16:07 p.m.,"5FXH+RM Icononzo, Tolima, Colombia Icononzo Tolima 734027",2/07/2025 3:04:26 p.m.,01h:48m:19s,"5FXG+2J Icononzo, Tolima, Colombia Icononzo Tolima 734027",146h:05m:27s,146h:05m:27s

