Reporte Selectivo de Eventos;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;Desde:;;1/06/2025 12:00:00 a. m.;;;Hasta:;;10/06/2025 11:59:59 p. m.;;;;
;;;;;;;;;;;;;;
Unidad: LZM117;;;;;;;;;;;;;;
Fecha;Hora;Evento;;Status;;Dirección;;;;;Estado;;CP;
1/06/2025;11:14:01 AM;Desplazándose - Ign. apagada;;13 kph / SW;;Calle 91S # 4GE-41 a 4GE-99, Bogotá, Cundinamarca, Colombia;;;;;Cundinamar;;;
1/06/2025;11:14:15 AM;Desplazándose - Ign. apagada;;13 kph / W;;Cl91s 5e-85, Bogota, Cundinamarca, Colombia;;;;;;;;
2/06/2025;09:04:12 AM;Desplazándose - Ign. apagada;;18 kph / W;;Cra. 4f Este #90 Sur-1 a 90 Sur-69, Bogotá, Bogotá, Colombia;;;;;Bogotá;;110541;
2/06/2025;04:19:09 PM;Desplazándose - Ign. apagada;;26 kph / SE;;Cl91s 4ie-65, Bogota, Cundinamarca;;;;;Cun;;;
2/06/2025;04:19:12 PM;Desplazándose - Ign. apagada;;23 kph / W;;Kr4ge 93s-30, Bogota, Cundinamarca, Colombia;;;;;;;;
2/06/2025;04:19:26 PM;Desplazándose - Ign. apagada;;24 kph / SW;;Cl. 91 Sur #2-10, Bogotá, Colombia;;;;;Bogotá;;110541;
3/06/2025;09:51:38 AM;Desplazándose - Ign. apagada;;14 kph / E;;Tr5dbise 97s-56, Bogota, Cundinamarca, Colombia;;;;;;;;
3/06/2025;09:51:45 AM;Desplazándose - Ign. apagada;;42 kph / N;;Dg96s 5be-98, Bogota, Cundinamarca, Colombia;;;;;;;;
4/06/2025;09:01:05 AM;Desplazándose - Ign. apagada;;11 kph / NE;;Dg. 91 Sur #90-29, Bogotá, Colombia;;;;;Bogotá;;110541;
4/06/2025;09:01:07 AM;Desplazándose - Ign. apagada;;16 kph / E;;Kr5e 90s-31, Bogota, Cundinamarca, Colombia;;;;;;;;
4/06/2025;10:58:41 AM;Desplazándose - Ign. apagada;;23 kph / E;;Cra. 4h Este #92-30, Bogotá, Colombia;;;;;Bogotá;;110541;
4/06/2025;10:58:59 AM;Desplazándose - Ign. apagada;;16 kph / S;;Carrera 4HE # 95S-2 a 95S-100, Bogotá Distrito Capital, Cundinamarca, Colombia;;;;;Cundinamar;;;
4/06/2025;11:16:30 AM;Desplazándose - Ign. apagada;;10 kph / S;;Diagonal 92AS # 4GE-2 a 4GE-100, Bogotá Distrito Capital, Cundinamarca, Colombia;;;;;Cundinamar;;;
4/06/2025;12:03:12 PM;Desplazándose - Ign. apagada;;18 kph / SE;;Tv. 4f Bis Este #90-72, Bogotá, Colombia;;;;;Bogotá;;110541;
5/06/2025;08:42:08 AM;Desplazándose - Ign. apagada;;10 kph / NW;;Diagonal 92AS # 4GE-2 a 4GE-100, Bogotá Distrito Capital, Cundinamarca, Colombia;;;;;Cundinamar;;;
7/06/2025;05:36:24 AM;Desplazándose - Ign. apagada;;10 kph / NE;;Cl95s 4ie-87, Bogota, Cundinamarca, Colombia;;;;;;;;
7/06/2025;05:41:11 PM;Desplazándose - Ign. apagada;;14 kph / W;;Cl. 91 Sur #2-16, Bogotá, Colombia;;;;;Bogotá;;110541;
7/06/2025;06:42:00 PM;Desplazándose - Ign. apagada;;10 kph / N;;Cl. 90 Sur # 2A-20, Usme, Bogotá, D.C., Bogotá, Bogotá, D.C., Colombia;;;;;Bogotá, D.;;110541;
7/06/2025;09:27:40 PM;Desplazándose - Ign. apagada;;16 kph / NW;;Calle 91S # 4HE-1 a 4HE-99, Bogotá, Cundinamarca, Colombia;;;;;Cundinamar;;;
9/06/2025;00:25:27 AM;Desplazándose - Ign. apagada;;16 kph / W;;Cra. 5 Este #90-45, Bogotá, Colombia;;;;;Bogotá;;110541;
9/06/2025;00:46:38 AM;Desplazándose - Ign. apagada;;14 kph / SE;;Cl91s 4ge-54, Bogota, Cundinamarca;;;;;Cun;;;
9/06/2025;10:44:48 AM;Desplazándose - Ign. apagada;;16 kph / S;;Cra. 4f Bis Este #91-77, Bogotá, Colombia;;;;;Bogotá;;110541;
9/06/2025;10:45:09 AM;Desplazándose - Ign. apagada;;14 kph / SE;;Cra. 4g Este #92-45, Bogotá, Colombia;;;;;Bogotá;;110541;
9/06/2025;10:45:18 AM;Desplazándose - Ign. apagada;;16 kph / NE;;Calle 94a Sur #4f Este-37 a 4f Este-71, Bogotá, Bogotá, Colombia;;;;;Bogotá;;110541;
9/06/2025;10:45:30 AM;Desplazándose - Ign. apagada;;10 kph / E;;Cl91s 4ce-55, Bogota, Cundinamarca, Colombia;;;;;;;;
9/06/2025;10:48:34 AM;Desplazándose - Ign. apagada;;21 kph / SE;;Cl91s 4ce-96, Bogota, Cundinamarca;;;;;Cun;;;
9/06/2025;11:09:58 AM;Desplazándose - Ign. apagada;;14 kph / SE;;Dg. 95a Sur #2-17, Bogotá, Colombia;;;;;Bogotá;;110531;
9/06/2025;03:48:57 PM;Desplazándose - Ign. apagada;;11 kph / E;;Cra. 5 Este #90-33, Bogotá, Colombia;;;;;Bogotá;;110541;
