Geofence;Geofence Type;Created On
.....;Linear;2013-02-14 11:49:01.690
ANDINO;Polygonal;2018-12-10 14:52:02.093
ARKADIA;Polygonal;2021-07-16 17:45:58.630
AVENTURA PLAZA MEDELLIN;Polygonal;2019-01-03 07:56:12.820
BODEGA BOGOTA;Polygonal;2012-02-21 14:10:22.347
BODEGA CHARLIES;Polygonal;2016-02-23 08:18:49.673
BOSA;Polygonal;2018-01-10 17:10:03.783
CALIMA 14;Polygonal;2016-01-29 09:20:41.813
CAMPANARIO;Polygonal;2012-02-21 14:04:12.983
CARIBE PLAZA;Polygonal;2016-01-29 10:09:00.423
CARNAVAL SOLEDAD;Polygonal;2019-01-02 10:39:10.560
CARNES CLUB FLORIDA;Polygonal;2016-02-23 09:23:11.137
CAUCASIA;Polygonal;2016-01-29 10:36:00.657
CENTENARIO;Polygonal;2012-02-21 11:57:52.800
CENTRO MAYOR;Polygonal;2016-01-29 11:16:56.330
CHARLIES AV 15;Polygonal;2019-01-09 08:36:15.800
CHILLICHANG BOGOTA;Polygonal;2016-02-23 08:55:49.140
CHILLICHANG CALI;Polygonal;2016-03-23 10:09:20.197
CHILLICHANG SANTA MARTA;Polygonal;2019-01-02 10:28:53.220
CHIPICHAPE;Polygonal;2012-02-21 11:56:27.063
CITY PLAZA;Polygonal;2016-01-29 09:16:51.537
DE MODA;Polygonal;2018-12-20 12:30:08.360
EL TESORO;Polygonal;2012-03-02 15:02:50.890
EXITO BELLO;Polygonal;2012-03-09 10:49:36.260
EXITO BUCARAMANGA;Polygonal;2016-01-29 09:55:51.747
EXITO BUENAVENTURA;Polygonal;2016-01-29 09:57:31.870
EXITO CHAPINERO;Polygonal;2016-01-29 10:01:52.523
EXITO SAN FERNANDO;Polygonal;2012-02-21 12:04:38.967
EXITO SIMON BOLIVAR;Polygonal;2016-01-29 09:49:28.227
FLORIDA;Polygonal;2016-01-29 10:04:43.020
FONTIBON;Polygonal;2016-01-29 10:34:18.010
FUNDADORES;Polygonal;2016-01-29 09:07:24.653
GRAN ESTACION 1;Polygonal;2012-06-12 17:10:33.543
GRAN PLAZA;Polygonal;2012-03-09 10:04:24.950
IWANA;Polygonal;2016-01-29 10:22:53.747
JARDIN PLAZA;Polygonal;2016-01-28 09:42:32.953
LA CENTRAL;Polygonal;2018-12-20 12:32:37.400
LA ESTACION;Polygonal;2016-01-29 10:31:39.003
LA FLORA;Polygonal;2012-02-21 11:53:20.300
LA HERRADURA;Polygonal;2016-01-29 09:39:33.973
LLANOGRANDE;Polygonal;2012-02-21 12:30:55.603
MALL PLAZA CARTAGENA;Polygonal;2019-01-02 10:43:03.820
MALL PLAZA MANIZALES;Polygonal;2018-12-13 21:36:30.763
MALLORCA;Polygonal;2016-02-23 09:16:53.487
MAYALES;Polygonal;2016-01-29 10:26:47.367
MEDELLIN NORTE;Polygonal;2021-07-16 17:19:26.840
MERCURIO;Polygonal;2016-01-29 11:20:35.140
MOLINOS;Polygonal;2016-02-23 09:19:20.760
MULTICENTRO IBAGUE;Polygonal;2018-12-13 21:50:25.630
OVIEDO;Polygonal;2012-03-02 14:48:09.203
PALMETTO;Polygonal;2012-02-21 12:43:45.147
PLANTA SR WOK;Polygonal;2012-02-21 16:52:13.787
PLANTA SR WOK;Polygonal;2012-01-23 17:03:39.410
PLAZA CENTRAL;Polygonal;2018-12-10 14:31:33.600
PLAZA DE LAS AMERICAS;Polygonal;2012-06-12 18:53:58.843
PORTAL DE LA 80;Polygonal;2016-01-29 10:20:55.023
PORTAL DEL PRADO;Polygonal;2016-01-29 10:12:18.690
PREMIUN;Polygonal;2016-01-29 09:46:31.157
SALITRE PLAZA;Polygonal;2012-02-21 15:05:23.657
SAN DIEGO;Polygonal;2016-01-29 10:16:21.157
SAN JUAN;Polygonal;2016-01-29 10:42:19.390
SAN MARTIN;Polygonal;2018-12-10 15:17:18.977
SANCANCIO;Polygonal;2016-01-29 09:18:54.507
SANTA BARBARA;Polygonal;2016-01-29 09:35:06.937
SANTA FE;Polygonal;2012-03-02 14:49:39.140
THERMOKIN TK DE OCCIDENTE;Circular;2021-07-09 08:47:47.373
TITAN PLAZA;Polygonal;2018-12-19 13:06:02.500
TOM GLEN CANEY;Polygonal;2020-10-29 16:31:08.900
UNICENTRO;Polygonal;2012-02-21 12:25:15.617
UNICENTRO ARMENIA;Polygonal;2016-01-29 09:44:13.880
UNICENTRO BOGOTA;Polygonal;2018-12-10 17:23:27.813
UNICENTRO MEDELLIN;Polygonal;2019-01-03 07:59:24.567
UNICO;Polygonal;2012-02-21 11:48:14.427
VICTORIA;Polygonal;2016-01-29 09:25:37.870
VILLAVICENCIO;Polygonal;2016-01-29 10:37:50.533
VIVA BARRNQUILLA;Polygonal;2019-01-02 10:36:52.563
VIVA ENVIGADO;Polygonal;2018-12-20 12:39:42.480
ZONA CALI;Polygonal;2016-01-28 09:51:51.603
ZONA INN;Polygonal;2016-01-29 10:39:52.450
