Geofence;Geofence Type;Created On
Acueducto La Flora Bmanga;Polygonal;2012-04-11 15:54:55.567
Algranel B/v;Polygonal;2012-03-21 22:18:25.023
Algranel C/gena;Polygonal;2012-03-28 09:31:56.760
Alqueria;Circular;2021-05-07 16:05:55.540
Basc. Yesos;Polygonal;2012-04-10 17:02:32.450
Bascula Arroyohondo;Polygonal;2012-03-28 13:46:14.797
Bascula Auto Sur;Circular;2022-04-26 09:55:51.987
Bascula Baggrip;Polygonal;2012-03-13 11:38:48.590
Bascula El Ancla;Circular;2023-11-16 06:14:35.780
Bavaria Plta Yumbo;Polygonal;2012-04-14 14:39:09.570
BIO D SA;Polygonal;2018-11-28 17:55:49.770
Bodega 1 Tulua;Circular;2013-10-29 18:15:38.280
Br Yumbo Z Cargue;Polygonal;2023-09-06 18:56:52.833
Br Yumbo Z Parqueo;Polygonal;2023-09-06 18:52:41.570
Brennta Itagui;Polygonal;2012-04-11 11:49:32.287
CAMPOFERT S.A.S.;Circular;2018-05-23 17:32:58.890
Carboquimica;Polygonal;2012-04-14 12:56:32.077
Casa  conductor STX820;Polygonal;2013-11-11 10:28:12.240
Caucaseco;Circular;2025-08-04 14:13:33.247
CHEMI / AGROTAGI;Circular;2015-12-11 12:05:16.307
Cisneros;Polygonal;2012-08-06 15:42:47.587
CLOROX DE COLOMBIA S.A.;Circular;2018-03-21 08:28:52.847
coello acpm;Polygonal;2012-09-26 16:55:49.330
Colgate;Polygonal;2012-03-12 20:11:02.323
COMPAÑIA DE EMPAQUES INDUSTRIALES S.A.S.;Circular;2018-05-25 10:44:52.450
Comuna 1 Cali;Polygonal;2014-10-01 10:22:18.993
Comuna 10 Cali;Polygonal;2014-10-01 11:23:04.927
Comuna 11 Cali;Polygonal;2014-10-01 11:42:36.710
Comuna 12 Cali;Polygonal;2014-10-01 12:02:38.923
Comuna 13 Cali;Polygonal;2014-10-01 12:27:33.837
Comuna 14 Cali;Polygonal;2014-10-01 12:44:21.587
Comuna 15 Cali;Polygonal;2014-10-01 15:14:11.713
Comuna 16 Cali;Polygonal;2014-10-01 15:26:24.203
Comuna 17 Cali;Polygonal;2014-10-01 16:42:39.287
Comuna 18 Cali;Polygonal;2014-10-01 16:52:59.167
Comuna 19 Cali;Polygonal;2014-10-01 16:05:15.583
Comuna 2 Cali;Polygonal;2014-10-01 08:59:50.020
Comuna 20 cali;Polygonal;2014-10-01 16:20:35.570
Comuna 21 Cali;Polygonal;2014-10-01 14:59:22.143
Comuna 22 Cali;Polygonal;2014-10-02 15:15:18.257
Comuna 3 Cali;Polygonal;2014-10-01 09:40:01.857
Comuna 4 Cali;Polygonal;2014-10-01 09:55:12.867
Comuna 5 Cali;Polygonal;2014-10-01 08:39:56.563
Comuna 6 Cali;Polygonal;2014-10-01 10:31:07.137
Comuna 7 Cali;Polygonal;2014-10-01 10:39:12.063
Comuna 8 Cali;Polygonal;2014-10-01 10:54:33.500
Comuna 9 Cali;Polygonal;2014-10-01 11:13:24.387
Conentrados;Polygonal;2012-03-28 09:38:07.493
consejal Amparo-miscelaneos;Polygonal;2012-08-06 18:00:10.117
Cruce Buga Palmira;Circular;2012-04-22 13:16:56.147
crucero a puente rio sogamoso y bucarelia;Polygonal;2012-09-18 17:52:03.620
CRUCERO A pUERTO wILCHEZ SALIDA DE TRONCAL;Polygonal;2012-09-18 19:14:36.107
Desvio Tulua;Circular;2013-10-29 18:01:29.947
EcoEnvases (reenvases);Polygonal;2023-09-06 19:00:39.013
EDS El Diamante;Circular;2012-04-17 20:44:10.923
EDS El molino Piedcuesta;Polygonal;2012-09-17 10:45:42.273
EDS La Macarena;Polygonal;2013-10-09 10:04:28.707
EDS La Palmirana;Polygonal;2012-09-22 16:06:25.027
EDS OPES Acopi;Polygonal;2012-03-22 15:51:59.593
EDS San Pedro;Polygonal;2012-04-11 21:59:13.180
EDS Trocal Norte Esso;Circular;2012-04-15 10:06:53.590
Empopasto;Polygonal;2012-04-30 11:47:33.923
engrasadero los pinos;Polygonal;2013-12-30 17:25:16.053
Escurridero acpm cgto palmas de Guayabito;Polygonal;2012-09-19 09:58:45.907
estacion servicio  Petromil El Diamante;Polygonal;2012-09-12 15:45:12.730
estacion servicio mobil trans Lebrija;Polygonal;2012-09-11 13:37:42.317
estacion Total Gas Mobil Mediacanoa;Polygonal;2012-10-13 12:30:33.017
estadero los tubos;Polygonal;2012-12-29 09:35:55.657
FLEISCHMANN;Circular;2021-05-13 11:28:45.793
Flint Ink Col.;Polygonal;2012-04-13 12:44:58.617
Fonda Paisa;Polygonal;2012-08-06 14:25:40.690
FrenoPartes de occidente;Polygonal;2019-12-28 13:10:09.383
Frigorificos de la Costa;Polygonal;2013-02-20 17:41:05.650
Gaseosas Hipinto s a;Polygonal;2012-09-13 10:07:41.757
Geo Parq. TLQ;Polygonal;2020-01-20 08:56:48.950
GeoC Parq JGS;Polygonal;2018-06-21 10:07:34.617
GOLOSINAS TRULULU;Circular;2015-12-10 15:40:35.967
Haratung;Polygonal;2012-04-14 12:24:30.407
Ind Basica Caldas;Polygonal;2012-04-16 15:14:03.087
INDUSTRIA COLOMBIANA DE PAPELES;Circular;2015-12-09 14:04:45.540
ingenio Riopaila;Polygonal;2012-05-05 12:43:06.100
Ingreso Parq TLQ;Polygonal;2025-08-04 16:20:25.000
ingreso y salida de  brentag;Polygonal;2023-08-08 09:55:12.660
Inproquim;Polygonal;2012-03-27 17:15:23.563
Intalpel;Polygonal;2012-03-28 14:17:20.350
juanchito - zona ind;Linear;2017-03-01 08:45:04.483
kmt 8 crucero Bucarlia Pto Wilchez;Polygonal;2012-09-17 16:44:54.177
La Balastrera 2;Polygonal;2012-08-06 16:48:33.243
La Balastrera, pocos ojos;Polygonal;2012-08-06 16:45:47.053
La paila;Polygonal;2012-04-11 22:39:46.950
LAV Est Santander Cali;Polygonal;2012-04-12 18:22:31.493
Lavadero Garrincha Las Victorias;Polygonal;2023-05-08 14:30:42.347
Lavadero Las Chivas El Indio;Polygonal;2019-11-23 16:28:46.423
Lavadero las margaritas;Polygonal;2012-08-06 17:14:05.920
lavadero Tolima;Polygonal;2012-11-29 14:54:36.003
Loboguerrero;Polygonal;2012-08-06 16:26:17.623
Loboguerrero escub 3;Polygonal;2012-08-06 16:38:17.053
Loboguerrero escubi 2;Polygonal;2012-08-06 16:36:29.727
Loboguerrero escurridero;Polygonal;2012-08-06 16:34:16.967
Los Tubos;Circular;2012-11-09 18:07:17.870
Momentive;Polygonal;2012-04-12 12:34:10.497
Nancy;Polygonal;2012-08-06 17:18:54.647
Nestle BugaLagrande;Polygonal;2018-03-20 16:16:53.200
Nitroacryl de Colombia;Polygonal;2012-04-13 15:21:47.927
Ofi Bta;Polygonal;2012-03-13 11:58:41.083
Oil Chemical s a;Polygonal;2012-07-06 11:17:58.753
Palmeras de bucarelia;Polygonal;2012-09-17 18:07:12.293
Panamericana de Alimentos;Polygonal;2012-04-11 09:42:38.830
Parq ¿barranca?;Polygonal;2012-10-01 19:00:50.167
Parq Algranel;Polygonal;2012-03-21 22:20:20.890
Parq Alpujarra;Polygonal;2012-10-01 19:16:16.217
Parq Ave Ferrocarril;Polygonal;2013-11-11 12:25:46.783
Parq B/manga;Polygonal;2012-03-12 19:57:58.073
Parq C Carlos Garcia;Polygonal;2013-11-11 10:25:32.770
Parq Casandra - Talleres;Polygonal;2018-11-27 15:08:46.080
Parq Cencar;Polygonal;2012-03-15 13:41:14.323
Parq EDS Castiblanco Tulua;Polygonal;2013-11-03 16:26:53.730
Parq Las Olas B/v;Polygonal;2012-03-28 13:27:02.980
Parq Los Colores Cali;Polygonal;2018-07-05 09:40:05.057
