GroupName,UnitName,StartTime,MovingTimeSecs,MilesDriven,MaxSpeed,StopTime,textbox43,StopLengthSecs,ContactName,textbox45,textbox54,textbox28,textbox29,textbox30,textbox32,MovingTimeSecs_1,MilesDriven_1,MaxSpeed_1,StopLengthSecs_1
,Unit: FJO660,9/06/2025 12:00 a.m.,00h:00m:00s,"0,00",1,9/06/2025 6:10:2.m.,Parked/Idle,06h:18m:44s,"BODEGA PRINCIPAL IBAGUE
Avenida Picaleña ",Tolima,730005,14h:29m:12s,"0,00",45,100h:41m:03s,14h:29m:12s,"0,00",45,100h:41m:03s
,Unit: FJO660,9/06/2025 6:21 a.m.,00h:00m:00s,"0,00",0,9/06/2025 6:21:4.m.,Parked/Idle,00h:00m:00s,"BODEGA PRINCIPAL IBAGUE
Avenida Picaleña ",Tolima,730005,14h:29m:12s,"0,00",45,100h:41m:03s,14h:29m:12s,"0,00",45,100h:41m:03s
,Unit: FJO660,9/06/2025 6:23 a.m.,00h:01m:06s,"0,00",13,9/06/2025 6:25:0.m.,Idle,00h:16m:34s,"9VW7+8H, Ibagué, Ibague, Tolima, Colombia",Tolima,730005,14h:29m:12s,"0,00",45,100h:41m:03s,14h:29m:12s,"0,00",45,100h:41m:03s
,Unit: FJO660,9/06/2025 6:41 a.m.,00h:02m:53s,"0,00",9,9/06/2025 6:44:3.m.,Idle,00h:01m:07s,"Av 40, Ibague, Tolima",Tol,730005,14h:29m:12s,"0,00",45,100h:41m:03s,14h:29m:12s,"0,00",45,100h:41m:03s
,Unit: FJO660,9/06/2025 6:45 a.m.,00h:13m:51s,"0,00",45,9/06/2025 6:59:2.m.,Idle,00h:00m:21s,"Via Principal-21, Ibague, Tolima",Tol,730005,14h:29m:12s,"0,00",45,100h:41m:03s,14h:29m:12s,"0,00",45,100h:41m:03s
,Unit: FJO660,9/06/2025 6:59 a.m.,00h:03m:13s,"0,00",25,9/06/2025 7:03:0.m.,Idle,00h:00m:47s,"Carrera 3 #1-2, Ibagué, Tolima, Colombia",Tolima,730003,14h:29m:12s,"0,00",45,100h:41m:03s,14h:29m:12s,"0,00",45,100h:41m:03s
,Unit: FJO660,9/06/2025 7:03 a.m.,00h:01m:48s,"0,00",13,9/06/2025 7:05:3.m.,Idle,00h:00m:37s,"Mz A Casa 8, Gualandayes, Ibagué, Tolima, Colombia",Tolima,730003,14h:29m:12s,"0,00",45,100h:41m:03s,14h:29m:12s,"0,00",45,100h:41m:03s
,Unit: FJO660,9/06/2025 7:06 a.m.,00h:09m:19s,"0,00",5,9/06/2025 7:15:3.m.,Ign Off,01h:17m:25s,"Caã‘averal, Ibague, Tolima, Colombia",Tolima,730003,14h:29m:12s,"0,00",45,100h:41m:03s,14h:29m:12s,"0,00",45,100h:41m:03s
,Unit: FJO660,9/06/2025 8:24 a.m.,00h:00m:00s,"0,00",0,9/06/2025 8:24:5.m.,Parked/Idle,00h:00m:00s,"Caã‘averal, Ibague, Tolima, Colombia",Tolima,730003,14h:29m:12s,"0,00",45,100h:41m:03s,14h:29m:12s,"0,00",45,100h:41m:03s
,Unit: FJO660,9/06/2025 8:25 a.m.,00h:00m:51s,"0,00",6,9/06/2025 8:26:4.m.,Ign Off,00h:09m:31s,"Cañaveral, Ibagué, Ibagué, Tolima, Colombia",Tolima,730003,14h:29m:12s,"0,00",45,100h:41m:03s,14h:29m:12s,"0,00",45,100h:41m:03s
