GroupName,UnitName,StartTime,MovingTimeSecs,MilesDriven,MaxSpeed,StopTime,textbox43,StopLengthSecs,ContactName,textbox28,textbox29,textbox30,textbox32,MovingTimeSecs_1,MilesDriven_1,MaxSpeed_1,StopLengthSecs_1
,Unidad: LUL144,1/12/2025 7:26 p.m.,00h:00m:54s,"0,29",6,1/12/2025 7:27:4.m.,Ralenti,00h:01m:20s,"Av Boyaca 79a-38, Bogota, Cundinamarca",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,1/12/2025 7:29 p.m.,00h:00m:31s,"0,21",7,1/12/2025 7:29:3.m.,Ralenti,00h:01m:44s,"Av Boyaca-60, Bogota, Cundinamarca",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,1/12/2025 7:31 p.m.,00h:01m:31s,"0,37",6,1/12/2025 7:32:5.m.,Ralenti,00h:01m:00s,"Entrada A La Cl80-20, Bogota, Cundinamarca",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,1/12/2025 7:33 p.m.,00h:04m:00s,"1,69",24,1/12/2025 7:37:5.m.,Ralenti,00h:00m:59s,"Cl80 89-33, Bogota, Cundinamarca",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,1/12/2025 7:38 p.m.,00h:01m:00s,"0,26",6,1/12/2025 7:39:5.m.,Ralenti,00h:01m:01s,"Cl80 90a-10, Bogota, Cundinamarca",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,1/12/2025 7:40 p.m.,00h:01m:00s,"0,13",8,1/12/2025 7:41:5.m.,Ralenti,00h:01m:00s,"Cl80 92-24, Bogota, Cundinamarca",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,1/12/2025 7:42 p.m.,00h:01m:00s,"0,14",11,1/12/2025 7:43:5.m.,Ralenti,00h:02m:00s,"Cl80 93-70, Bogota, Cundinamarca, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,1/12/2025 7:45 p.m.,00h:00m:59s,"0,19",7,1/12/2025 7:46:5.m.,Ralenti,00h:01m:01s,"Cl80 94-61, Bogota, Cundinamarca",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,1/12/2025 7:47 p.m.,00h:02m:00s,"0,97",20,1/12/2025 7:49:5.m.,Ralenti,00h:01m:00s,"Via Principal-20, Bogota, Cundinamarca",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,1/12/2025 7:50 p.m.,00h:07m:21s,"4,65",37,1/12/2025 7:58:1.m.,Ralenti,00h:01m:39s,"Av 50, Bogota, Cundinamarca",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,1/12/2025 7:59 p.m.,00h:03m:02s,"2,16",28,1/12/2025 8:02:5.m.,Ralenti,00h:03m:33s,"Parcelas de cota, parcela 20, lote 4, Cota, Cundinamarca, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,1/12/2025 8:06 p.m.,00h:00m:43s,"0,10",6,1/12/2025 8:07:1.m.,Ignición Apagada,00h:00m:03s,"Carrera 70c #5360, Bogotá, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,1/12/2025 8:07 p.m.,00h:00m:00s,"0,00",0,1/12/2025 8:07:1.m.,Denido/Ralenti,10h:39m:16s,"Carrera 70c #5360, Bogotá, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,2/12/2025 6:40 a.m.,00h:00m:00s,"0,00",0,2/12/2025 6:40:0.m.,Denido/Ralenti,00h:17m:07s,"Parcelas de cota, parcela 20, lote 4, Cota, Cundinamarca, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,2/12/2025 6:49 a.m.,00h:00m:00s,"0,00",0,2/12/2025 6:49:4.m.,Denido/Ralenti,00h:00m:06s,"QV69+2W Cota, Cundinamarca, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,2/12/2025 6:50 a.m.,00h:01m:08s,"0,21",9,2/12/2025 6:51:5.m.,Ignición Apagada,01h:15m:54s,"Parcelas de cota, parcela 20, lote 4, Cota, Cundinamarca, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,2/12/2025 8:07 a.m.,00h:00m:00s,"0,00",0,2/12/2025 8:07:4.m.,Denido/Ralenti,01h:34m:36s,"Parcelas de cota, parcela 20, lote 4, Cota, Cundinamarca, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,2/12/2025 9:28 a.m.,00h:00m:00s,"0,00",0,2/12/2025 9:28:4.m.,Denido/Ralenti,00h:18m:34s,"Parcelas de cota, parcela 20, lote 4, Cota, Cundinamarca, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,2/12/2025 9:46 a.m.,00h:00m:00s,"0,00",0,2/12/2025 9:46:0.m.,Denido/Ralenti,00h:03m:27s,"Parcelas de cota, parcela 20, lote 4, Cota, Cundinamarca, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,2/12/2025 9:50 a.m.,00h:07m:33s,"2,85",22,2/12/2025 9:58:0.m.,Ralenti,00h:01m:00s,"Av 50, Bogota, Cundinamarca",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,2/12/2025 9:59 a.m.,00h:01m:00s,"1,46",44,2/12/2025 10:00:0.m.,Ralenti,00h:00m:44s,"Av 50-93, Bogota, Cundinamarca",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,2/12/2025 10:00 a.m.,00h:04m:16s,"2,43",30,2/12/2025 10:05:0.m.,Ralenti,00h:05m:00s,"Via Principal-39, Bogota, Cundinamarca",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,2/12/2025 10:10 a.m.,00h:13m:00s,"6,74",35,2/12/2025 10:23:0.m.,Ralenti,00h:01m:00s,"Via Principal, Funza, Cundinamarca",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,2/12/2025 10:24 a.m.,00h:06m:00s,"4,97",50,2/12/2025 10:30:0.m.,Ralenti/Ign Apagada,01h:13m:13s,"Av 50, Madrid, Cundinamarca, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,2/12/2025 11:21 a.m.,00h:00m:00s,"0,00",0,2/12/2025 11:21:4.m.,Denido/Ralenti,01h:57m:30s,"Av 50, Madrid, Cundinamarca, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,2/12/2025 12:53 p.m.,00h:00m:00s,"0,00",0,2/12/2025 12:53:2.m.,Denido/Ralenti,04h:14m:12s,"Av 50, Madrid, Cundinamarca, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,2/12/2025 4:33 p.m.,00h:00m:00s,"0,00",0,2/12/2025 4:33:0.m.,Denido/Ralenti,02h:36m:23s,"Av 50, Madrid, Cundinamarca, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,2/12/2025 5:59 p.m.,00h:00m:00s,"0,00",0,2/12/2025 5:59:5.m.,Denido/Ralenti,00h:06m:00s,"Av 50, Madrid, Cundinamarca, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,2/12/2025 6:06 p.m.,00h:04m:44s,"3,56",34,2/12/2025 6:11:3.m.,Ralenti,00h:02m:43s,"Kr6a 20-79, Madrid, Cundinamarca",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,2/12/2025 6:14 p.m.,00h:09m:33s,"6,47",37,2/12/2025 6:23:5.m.,Ralenti,00h:02m:39s,"Av 50-89, Funza, Cundinamarca",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,2/12/2025 6:26 p.m.,00h:05m:21s,"2,27",24,2/12/2025 6:31:5.m.,Ralenti,00h:00m:59s,"Via Principal-54, Funza, Cundinamarca",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,2/12/2025 6:32 p.m.,00h:01m:00s,"0,76",29,2/12/2025 6:33:5.m.,Ralenti,00h:01m:01s,"Via Principal-46, Funza, Cundinamarca",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,2/12/2025 6:34 p.m.,00h:08m:00s,"5,09",31,2/12/2025 6:42:5.m.,Ralenti,00h:03m:00s,"Via Principal-38, Bogota, Cundinamarca",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,2/12/2025 6:45 p.m.,00h:00m:59s,"0,26",8,2/12/2025 6:46:5.m.,Ralenti,00h:04m:01s,"Via Principal, Bogota, Cundinamarca",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,2/12/2025 6:50 p.m.,00h:02m:00s,"0,82",8,2/12/2025 6:52:5.m.,Ralenti,00h:08m:00s,"Via Principal-85, Bogota, Cundinamarca",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,2/12/2025 7:01 p.m.,00h:01m:01s,"1,00",11,2/12/2025 7:02:5.m.,Ralenti,00h:01m:00s,"Via Principal-12, Bogota, Cundinamarca",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,2/12/2025 7:03 p.m.,00h:06m:58s,"4,46",30,2/12/2025 7:10:5.m.,Ralenti,00h:00m:16s,"Cl143b 153-50, Bogota, Cundinamarca, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,2/12/2025 7:11 p.m.,00h:01m:31s,"0,60",9,2/12/2025 7:12:4.m.,Ralenti,00h:27m:08s,"Parcelas de cota, parcela 20, lote 4, Cota, Cundinamarca, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,2/12/2025 7:39 p.m.,00h:00m:31s,"0,13",6,2/12/2025 7:40:1.m.,Ignición Apagada,00h:00m:42s,"Carrera 70c #5360, Bogotá, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,2/12/2025 7:41 p.m.,00h:00m:00s,"0,00",0,2/12/2025 7:41:0.m.,Denido/Ralenti,00h:37m:49s,"Carrera 70c #5360, Bogotá, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,2/12/2025 8:01 p.m.,00h:00m:00s,"0,00",0,2/12/2025 8:01:5.m.,Denido/Ralenti,13h:14m:55s,"Parcelas de cota, parcela 20, lote 4, Cota, Cundinamarca, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
,Unidad: LUL144,3/12/2025 9:16 a.m.,00h:00m:00s,"0,00",0,3/12/2025 9:16:4.m.,Denido/Ralenti,01h:42m:21s,"Parcelas de cota, parcela 20, lote 4, Cota, Cundinamarca, Colombia",36h:27m:22s,"1.639,00",58,130h:27m:17s,36h:27m:22s,"1.639,00",58,130h:27m:17s
